dataset_index,initialization_index,stream_seed,anchor_step,reuse_commits,quality_readout_step,method,refresh_feature_ns,refresh_partition_ns,amortized_proxy_ns_per_commit,verifier_ns_per_commit,projected_total_ns_per_commit,within_stratum_utility_variance_v48,predicted_rmse_v48,observed_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48,quality_mode
0,0,a303ea0000000001,2400,10,2410,hash_placebo_mean,0,0,0.00,572200,572200.00,6.075950719518e-5,7.955507994952e-4,8.057464676301e-4,3.260340073529e-1,5.274800463937e-4,6.263416622581e-4,1.601562500000e-1,stale_reuse
0,0,a303ea0000000001,2400,25,2425,balanced_kmeans,10200,2537800,101920.00,510600,612520.00,5.562660621254e-5,7.612120694747e-4,7.515191585869e-4,3.293269230769e-1,7.328493171599e-4,7.675446906887e-4,1.250000000000e-1,stale_reuse
0,0,a303ea0000000001,2400,25,2425,warm_start_balanced_kmeans,10200,2372200,95296.00,510600,605896.00,5.561021806666e-5,7.610999309296e-4,7.376744877129e-4,3.241494082840e-1,8.801002701375e-4,9.381552303012e-4,1.718750000000e-1,stale_reuse
0,0,a303ea0000000001,2400,25,2425,projected_order_1d,10200,15600,1032.00,510600,511632.00,5.849722946512e-5,7.806062645545e-4,7.777147554501e-4,3.437500000000e-1,8.148819286760e-4,8.349657633744e-4,1.406250000000e-1,stale_reuse
0,0,a303ea0000000001,2400,25,2425,nearest_centroid_quota_repair,10200,53800,2560.00,510600,513160.00,5.673168770803e-5,7.687360277052e-4,7.869774359049e-4,3.381102071006e-1,8.297642036155e-4,8.700400909447e-4,9.375000000000e-2,stale_reuse
0,0,a303ea0000000001,2400,25,2425,hash_placebo_mean,0,0,0.00,510600,510600.00,6.736023774844e-5,8.376479022198e-4,8.336920201126e-4,3.464196560651e-1,9.393407676086e-4,9.938440862669e-4,2.128906250000e-1,stale_reuse
0,0,a303ea0000000001,2400,50,2450,balanced_kmeans,10200,2537800,50960.00,491000,541960.00,4.956701547731e-5,7.185562454593e-4,7.061861955256e-4,3.050595238095e-1,4.897109463400e-4,9.733896405777e-4,6.406250000000e-1,stale_reuse
0,0,a303ea0000000001,2400,50,2450,warm_start_balanced_kmeans,10200,2372200,47648.00,491000,538648.00,4.959653819810e-5,7.187702040501e-4,6.918788656984e-4,2.996651785714e-1,4.581035289277e-4,8.439822033353e-4,6.406250000000e-1,stale_reuse
0,0,a303ea0000000001,2400,50,2450,projected_order_1d,10200,15600,516.00,491000,491516.00,5.351448301248e-5,7.466207413272e-4,7.360092653254e-4,3.178943452381e-1,4.747361523272e-4,9.998563160707e-4,6.875000000000e-1,stale_reuse
0,0,a303ea0000000001,2400,50,2450,nearest_centroid_quota_repair,10200,53800,1280.00,491000,492280.00,5.238435108287e-5,7.386950140483e-4,7.191172095487e-4,3.321242559524e-1,4.793170291464e-4,8.762986582838e-4,6.718750000000e-1,stale_reuse
0,0,a303ea0000000001,2400,50,2450,hash_placebo_mean,0,0,0.00,491000,491000.00,6.561988262498e-5,8.267571465719e-4,8.250579120704e-4,3.279041108631e-1,4.703561516610e-4,8.551970569339e-4,5.937500000000e-1,stale_reuse
0,0,a303ea0000000001,2400,100,2500,balanced_kmeans,10200,2537800,25480.00,487100,512580.00,4.781247310390e-5,7.057241634182e-4,6.899041713106e-4,2.983455882353e-1,5.318847028590e-4,7.002536129903e-4,5.625000000000e-1,stale_reuse
0,0,a303ea0000000001,2400,100,2500,warm_start_balanced_kmeans,10200,2372200,23824.00,487100,510924.00,4.780670600830e-5,7.056816002418e-4,7.178378675042e-4,2.992647058824e-1,5.521227011442e-4,8.220745732785e-4,6.718750000000e-1,stale_reuse
0,0,a303ea0000000001,2400,100,2500,projected_order_1d,10200,15600,258.00,487100,487358.00,5.187342012435e-5,7.350837546125e-4,7.303804679892e-4,3.227022058824e-1,5.966354681419e-4,9.295069893369e-4,7.500000000000e-1,stale_reuse
0,0,a303ea0000000001,2400,100,2500,nearest_centroid_quota_repair,10200,53800,640.00,487100,487740.00,5.016689631354e-5,7.228913034471e-4,7.091862646907e-4,3.105698529412e-1,5.610006987133e-4,8.056494007356e-4,6.718750000000e-1,stale_reuse
0,0,a303ea0000000001,2400,100,2500,hash_placebo_mean,0,0,0.00,487100,487100.00,6.335940726520e-5,8.123951037405e-4,8.214858131096e-4,3.247357536765e-1,5.709468633581e-4,8.187083133770e-4,6.777343750000e-1,stale_reuse
0,0,a303ea0000000002,600,1,601,balanced_kmeans,17700,3057700,3075400.00,491200,3566600.00,1.200675166652e-5,3.536528380482e-4,3.471692866652e-4,2.678308823529e-1,6.615663548928e-4,6.778849416378e-4,4.687500000000e-2,stale_reuse
0,0,a303ea0000000002,600,1,601,warm_start_balanced_kmeans,17700,2651300,2669000.00,491200,3160200.00,1.200675166652e-5,3.536528380482e-4,3.471692866652e-4,2.678308823529e-1,6.615663548928e-4,6.778849416378e-4,4.687500000000e-2,stale_reuse
0,0,a303ea0000000002,600,1,601,projected_order_1d,17700,14600,32300.00,491200,523500.00,1.448762746922e-5,3.884749491765e-4,4.039754831242e-4,3.002757352941e-1,7.499253156311e-4,7.609626520093e-4,4.687500000000e-2,stale_reuse
