dataset_index,initialization_index,stream_seed,state_step,anchor_step,partition_age,method,mode,candidate_count,within_stratum_utility_variance_v48,predicted_rmse_v48,observed_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48
0,0,a303ea0000000001,610,600,10,hash_placebo_07,placebo_component,170,1.861106620583e-5,4.403013433745e-4,4.473568449576e-4,2.953125000000e-1,2.587805086733e-4,3.328687818476e-4,2.656250000000e-1
0,0,a303ea0000000001,610,600,10,hash_placebo_mean,fixed_placebos,170,1.906046439913e-5,4.455761320326e-4,4.480948643245e-4,2.985409007353e-1,2.805346446983e-4,3.617932134186e-4,2.695312500000e-1
0,0,a303ea0000000001,625,600,25,balanced_kmeans,fresh,170,1.169113820398e-5,3.489737663848e-4,3.533958076047e-4,2.505514705882e-1,4.717475187590e-4,5.224841481777e-4,1.406250000000e-1
0,0,a303ea0000000001,625,600,25,balanced_kmeans,stale_reuse,170,1.151784789785e-5,3.463778027952e-4,3.524270640055e-4,2.571691176471e-1,4.759914088481e-4,5.380663089909e-4,1.250000000000e-1
0,0,a303ea0000000001,625,600,25,warm_start_balanced_kmeans,fresh,170,1.169911701205e-5,3.490928274955e-4,3.562715890522e-4,2.554227941176e-1,3.856565440401e-4,4.173073575657e-4,6.250000000000e-2
0,0,a303ea0000000001,625,600,25,warm_start_balanced_kmeans,stale_reuse,170,1.151784789785e-5,3.463778027952e-4,3.524270640055e-4,2.571691176471e-1,4.759914088481e-4,5.380663089909e-4,1.250000000000e-1
0,0,a303ea0000000001,625,600,25,projected_order_1d,fresh,170,1.433236344111e-5,3.863876971534e-4,3.868940455015e-4,2.807904411765e-1,5.238986714176e-4,5.901221393287e-4,1.406250000000e-1
0,0,a303ea0000000001,625,600,25,projected_order_1d,stale_reuse,170,1.451677534452e-5,3.888655421077e-4,3.825946053497e-4,2.791360294118e-1,5.168746965865e-4,5.948777943559e-4,1.875000000000e-1
0,0,a303ea0000000001,625,600,25,nearest_centroid_quota_repair,fresh,170,1.222763219749e-5,3.568909759631e-4,3.604828142393e-4,2.539522058824e-1,4.245135630754e-4,4.737202536944e-4,1.093750000000e-1
0,0,a303ea0000000001,625,600,25,nearest_centroid_quota_repair,stale_reuse,170,1.151784789785e-5,3.463778027952e-4,3.524270640055e-4,2.571691176471e-1,4.759914088481e-4,5.380663089909e-4,1.250000000000e-1
0,0,a303ea0000000001,625,600,25,hash_placebo_00,placebo_component,170,1.877037590427e-5,4.421818053729e-4,4.442363594659e-4,3.061580882353e-1,4.188044797502e-4,4.557338545510e-4,9.375000000000e-2
0,0,a303ea0000000001,625,600,25,hash_placebo_01,placebo_component,170,1.850256588781e-5,4.390160148916e-4,4.498400882865e-4,3.077205882353e-1,4.244053168350e-4,4.552715593036e-4,6.250000000000e-2
0,0,a303ea0000000001,625,600,25,hash_placebo_02,placebo_component,170,1.854108840757e-5,4.394727950384e-4,4.374811023812e-4,3.049632352941e-1,4.213432762299e-4,4.748061314785e-4,1.093750000000e-1
0,0,a303ea0000000001,625,600,25,hash_placebo_03,placebo_component,170,1.810486291176e-5,4.342721750210e-4,4.210001740006e-4,3.000919117647e-1,4.471808199469e-4,4.794687840786e-4,4.687500000000e-2
0,0,a303ea0000000001,625,600,25,hash_placebo_04,placebo_component,170,1.828726149191e-5,4.364542441166e-4,4.556765297623e-4,3.191176470588e-1,4.879915811671e-4,5.361903579342e-4,7.812500000000e-2
0,0,a303ea0000000001,625,600,25,hash_placebo_05,placebo_component,170,1.843545710355e-5,4.382191363864e-4,4.383410362051e-4,3.047794117647e-1,4.197890236810e-4,4.561985076634e-4,6.250000000000e-2
0,0,a303ea0000000001,625,600,25,hash_placebo_06,placebo_component,170,1.849155207560e-5,4.388853314031e-4,4.339070567325e-4,2.975183823529e-1,4.440259178864e-4,4.799946630101e-4,6.250000000000e-2
0,0,a303ea0000000001,625,600,25,hash_placebo_07,placebo_component,170,1.801608506623e-5,4.332061319663e-4,4.240975243092e-4,3.080882352941e-1,4.434735758423e-4,4.930985667215e-4,1.093750000000e-1
