dataset_index,initialization_index,anchor_step,reuse_commits,method,n_streams,amortized_proxy_ns,verifier_ns,projected_total_ns,within_variance_v48,predicted_rmse_v48,observed_rmse_v48,selected_program_regret_v48
0,1,2400,10,warm_start_balanced_kmeans,2,126755.00,488300.00,615055.00,3.601874889665e-5,6.113947596726e-4,6.080045131074e-4,5.480051401818e-4
0,1,2400,25,balanced_kmeans,2,76916.00,533850.00,610766.00,3.723639259565e-5,6.214329820454e-4,6.234227840395e-4,5.495167644654e-4
0,1,2400,25,hash_placebo_mean,2,0.00,533850.00,533850.00,4.472325998908e-5,6.818074910079e-4,6.785177675998e-4,5.502657487810e-4
0,1,2400,25,nearest_centroid_quota_repair,2,2682.00,533850.00,536532.00,3.832069938670e-5,6.304326025813e-4,6.207234824998e-4,5.619624778035e-4
0,1,2400,25,projected_order_1d,2,906.00,533850.00,534756.00,4.046584146060e-5,6.484945222179e-4,6.515942794511e-4,5.569258178753e-4
0,1,2400,25,warm_start_balanced_kmeans,2,50702.00,533850.00,584552.00,3.716064149745e-5,6.206028084970e-4,6.229801444066e-4,5.624786184342e-4
0,1,2400,50,balanced_kmeans,2,38458.00,539900.00,578358.00,3.694477425254e-5,6.202369917230e-4,6.267170920730e-4,5.452679980635e-4
0,1,2400,50,hash_placebo_mean,2,0.00,539900.00,539900.00,4.254796116980e-5,6.653965909559e-4,6.592041565076e-4,5.570871010185e-4
0,1,2400,50,nearest_centroid_quota_repair,2,1341.00,539900.00,541241.00,3.771751637022e-5,6.267381697994e-4,6.352927269196e-4,5.722183979557e-4
0,1,2400,50,projected_order_1d,2,453.00,539900.00,540353.00,3.889369816921e-5,6.363544087920e-4,6.383638702855e-4,4.978754121510e-4
0,1,2400,50,warm_start_balanced_kmeans,2,25351.00,539900.00,565251.00,3.679953400143e-5,6.190708225650e-4,6.116727632784e-4,5.191366460835e-4
0,1,2400,100,balanced_kmeans,2,19229.00,534250.00,553479.00,3.703769987349e-5,6.211285020679e-4,6.275864494682e-4,6.364036567845e-4
0,1,2400,100,hash_placebo_mean,2,0.00,534250.00,534250.00,4.345567792435e-5,6.726241763490e-4,6.664129292725e-4,6.868241458987e-4
0,1,2400,100,nearest_centroid_quota_repair,2,670.50,534250.00,534920.50,3.787010222691e-5,6.280671671079e-4,6.278289635245e-4,7.032488195664e-4
0,1,2400,100,projected_order_1d,2,226.50,534250.00,534476.50,4.007463117086e-5,6.460445350829e-4,6.344243067476e-4,5.918707415162e-4
0,1,2400,100,warm_start_balanced_kmeans,2,12675.50,534250.00,546925.50,3.673591097569e-5,6.185998125621e-4,6.097239864460e-4,6.791849425078e-4
0,2,600,1,balanced_kmeans,2,1651800.00,492150.00,2143950.00,3.125146747830e-6,1.797725190317e-4,1.767088021876e-4,2.970923997907e-4
0,2,600,1,hash_placebo_mean,2,14200.00,492150.00,506350.00,7.729000244262e-6,2.837196068732e-4,2.885034380234e-4,2.717365687523e-4
0,2,600,1,nearest_centroid_quota_repair,2,1728750.00,492150.00,2220900.00,3.125146747830e-6,1.797725190317e-4,1.767088021876e-4,2.970923997907e-4
0,2,600,1,projected_order_1d,2,19400.00,492150.00,511550.00,3.917281785983e-6,2.019983612205e-4,2.009767592625e-4,2.964416047746e-4
0,2,600,1,warm_start_balanced_kmeans,2,1646850.00,492150.00,2139000.00,3.125146747830e-6,1.797725190317e-4,1.767088021876e-4,2.970923997907e-4
0,2,600,10,balanced_kmeans,2,165180.00,502550.00,667730.00,3.360673521260e-6,1.864794176659e-4,1.856664834105e-4,4.032726671213e-4
0,2,600,10,hash_placebo_mean,2,1420.00,502550.00,503970.00,8.017986184643e-6,2.889547216784e-4,2.905692191033e-4,4.673176019674e-4
0,2,600,10,nearest_centroid_quota_repair,2,172875.00,502550.00,675425.00,3.360673521260e-6,1.864794176659e-4,1.856664834105e-4,4.032726671213e-4
0,2,600,10,projected_order_1d,2,1940.00,502550.00,504490.00,4.101258259731e-6,2.066913113811e-4,2.114343576131e-4,4.102734330829e-4
0,2,600,10,warm_start_balanced_kmeans,2,164685.00,502550.00,667235.00,3.360673521260e-6,1.864794176659e-4,1.856664834105e-4,4.032726671213e-4
0,2,600,25,balanced_kmeans,2,66072.00,490450.00,556522.00,3.509721022129e-6,1.899347534302e-4,1.931822604879e-4,2.535471762144e-4
0,2,600,25,hash_placebo_mean,2,568.00,490450.00,491018.00,8.326530686057e-6,2.943867626671e-4,2.928420795500e-4,3.533267459179e-4
0,2,600,25,nearest_centroid_quota_repair,2,69150.00,490450.00,559600.00,3.509721022129e-6,1.899347534302e-4,1.931822604879e-4,2.535471762144e-4
0,2,600,25,projected_order_1d,2,776.00,490450.00,491226.00,4.336675325206e-6,2.123208432993e-4,2.073452109881e-4,2.571512163740e-4
0,2,600,25,warm_start_balanced_kmeans,2,65874.00,490450.00,556324.00,3.509721022129e-6,1.899347534302e-4,1.931822604879e-4,2.535471762144e-4
0,2,600,50,balanced_kmeans,2,33036.00,498850.00,531886.00,4.254027400393e-6,2.094618221060e-4,2.099893333299e-4,2.615542159532e-4
0,2,600,50,hash_placebo_mean,2,284.00,498850.00,499134.00,8.909633110525e-6,3.046235170917e-4,3.078713443063e-4,3.627520201270e-4
0,2,600,50,nearest_centroid_quota_repair,2,34575.00,498850.00,533425.00,4.254027400393e-6,2.094618221060e-4,2.099893333299e-4,2.615542159532e-4
0,2,600,50,projected_order_1d,2,388.00,498850.00,499238.00,4.952965581905e-6,2.269424311797e-4,2.279869650044e-4,3.088529047659e-4
0,2,600,50,warm_start_balanced_kmeans,2,32937.00,498850.00,531787.00,4.254027400393e-6,2.094618221060e-4,2.099893333299e-4,2.615542159532e-4
0,2,600,100,balanced_kmeans,2,16518.00,522100.00,538618.00,4.841931502291e-6,2.238615907991e-4,2.257483208803e-4,2.109859289074e-4
0,2,600,100,hash_placebo_mean,2,142.00,522100.00,522242.00,1.031259683674e-5,3.277339445809e-4,3.288798094991e-4,3.080814473577e-4
0,2,600,100,nearest_centroid_quota_repair,2,17287.50,522100.00,539387.50,4.841931502291e-6,2.238615907991e-4,2.257483208803e-4,2.109859289074e-4
0,2,600,100,projected_order_1d,2,194.00,522100.00,522294.00,5.694661237017e-6,2.435062265564e-4,2.471450802703e-4,2.649938237340e-4
