dataset_index,initialization_index,stream_seed,state_step,anchor_step,age,method,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,partition_build_median_ns,iterations,within_sse,measurement_repetitions
0,0,a303ea0000000002,2401,2400,1,warm_start_balanced_kmeans,27,20736,10100,1007200,2,4.751385714383e1,3
0,0,a303ea0000000002,2401,2400,1,projected_order_1d,27,20736,10100,15700,1,1.162095075903e2,3
0,0,a303ea0000000002,2401,2400,1,nearest_centroid_quota_repair,27,20736,10100,71000,1,6.220239881551e1,3
0,0,a303ea0000000002,2401,2400,1,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000002,2410,2400,10,balanced_kmeans,27,20736,12800,2838500,4,4.747773141747e1,3
0,0,a303ea0000000002,2410,2400,10,warm_start_balanced_kmeans,27,20736,12800,1119300,2,4.744942145350e1,3
0,0,a303ea0000000002,2410,2400,10,projected_order_1d,27,20736,12800,16700,1,1.162903171784e2,3
0,0,a303ea0000000002,2410,2400,10,nearest_centroid_quota_repair,27,20736,12800,69000,1,6.646796267822e1,3
0,0,a303ea0000000002,2410,2400,10,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000002,2425,2400,25,balanced_kmeans,27,20736,9200,2180100,4,4.944492924530e1,3
0,0,a303ea0000000002,2425,2400,25,warm_start_balanced_kmeans,27,20736,9200,755300,2,4.944492924530e1,3
0,0,a303ea0000000002,2425,2400,25,projected_order_1d,27,20736,9200,10800,1,1.279308884960e2,3
0,0,a303ea0000000002,2425,2400,25,nearest_centroid_quota_repair,27,20736,9200,42400,1,6.560331422731e1,3
0,0,a303ea0000000002,2425,2400,25,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000002,2450,2400,50,balanced_kmeans,27,20736,9900,2018600,4,5.498957426571e1,3
0,0,a303ea0000000002,2450,2400,50,warm_start_balanced_kmeans,27,20736,9900,633700,2,5.488498123892e1,3
0,0,a303ea0000000002,2450,2400,50,projected_order_1d,27,20736,9900,9800,1,1.409628541065e2,3
0,0,a303ea0000000002,2450,2400,50,nearest_centroid_quota_repair,27,20736,9900,38600,1,6.842687336479e1,3
0,0,a303ea0000000002,2450,2400,50,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,0,a303ea0000000002,2500,2400,100,balanced_kmeans,27,20736,8800,2033800,4,5.052029285603e1,3
0,0,a303ea0000000002,2500,2400,100,warm_start_balanced_kmeans,27,20736,8800,691500,2,4.949670505629e1,3
