dataset_index,initialization_index,stream_seed,arm,step,train_loss,evaluation_loss,evaluation_accuracy,parameter_fingerprint
0,4,a303d1ea00000009,hash_placebo,600,9.106838703e-1,1.133186698e0,0.395833,bb5e681cfcab1896
0,4,a303d1ea00000009,hash_placebo,2400,4.880513251e-1,1.286836863e0,0.468750,ee399a4257c28a2d
0,4,a303d1ea00000009,hash_placebo,4200,2.513559461e-1,1.626056671e0,0.520833,1cc876424ab2f0e5
0,4,a303d1ea0000000a,projected_order_1d,0,1.126216292e0,1.095807552e0,0.375000,4d5d72b06b713665
0,4,a303d1ea0000000a,projected_order_1d,600,9.121087193e-1,1.151196361e0,0.395833,18c4c807e991933a
0,4,a303d1ea0000000a,projected_order_1d,2400,5.543560982e-1,1.262191415e0,0.510417,c5341cbb9f696d8b
0,4,a303d1ea0000000a,projected_order_1d,4200,3.059109747e-1,1.516157508e0,0.479167,2d41a4a78e9efe1b
0,4,a303d1ea0000000a,hash_placebo,0,1.126216292e0,1.095807552e0,0.375000,4d5d72b06b713665
0,4,a303d1ea0000000a,hash_placebo,600,8.974794745e-1,1.160907149e0,0.375000,cf5a9321a882736d
0,4,a303d1ea0000000a,hash_placebo,2400,5.603027344e-1,1.343450546e0,0.510417,1a08bbbc91354fc8
0,4,a303d1ea0000000a,hash_placebo,4200,3.430943489e-1,1.596530080e0,0.468750,da6022eb9a8358eb
1,0,a303d1ea0000000b,projected_order_1d,0,1.148154378e0,1.106603503e0,0.312500,154169d76607567a
1,0,a303d1ea0000000b,projected_order_1d,600,8.233136535e-1,1.028893471e0,0.500000,d3653feb1c8f4ea9
1,0,a303d1ea0000000b,projected_order_1d,2400,4.179812372e-1,1.338739276e0,0.552083,507e9cbe1f092b6e
1,0,a303d1ea0000000b,projected_order_1d,4200,2.091549486e-1,1.876642108e0,0.614583,d7434bc49a7a6466
1,0,a303d1ea0000000b,hash_placebo,0,1.148154378e0,1.106603503e0,0.312500,154169d76607567a
1,0,a303d1ea0000000b,hash_placebo,600,8.960845470e-1,1.033363461e0,0.541667,860ac9a1d9112439
1,0,a303d1ea0000000b,hash_placebo,2400,3.864194155e-1,1.791898131e0,0.520833,22372423171bed51
1,0,a303d1ea0000000b,hash_placebo,4200,2.513504922e-1,2.736849546e0,0.531250,d322eca018214381
1,0,a303d1ea0000000c,projected_order_1d,0,1.148154378e0,1.106603503e0,0.312500,154169d76607567a
1,0,a303d1ea0000000c,projected_order_1d,600,8.530309796e-1,1.049331188e0,0.520833,7d94d7d9bb05a6a0
1,0,a303d1ea0000000c,projected_order_1d,2400,4.580632150e-1,1.437681794e0,0.500000,c4f3170b24b90e48
1,0,a303d1ea0000000c,projected_order_1d,4200,2.642713487e-1,2.284712315e0,0.520833,a0928a7f222041f7
1,0,a303d1ea0000000c,hash_placebo,0,1.148154378e0,1.106603503e0,0.312500,154169d76607567a
1,0,a303d1ea0000000c,hash_placebo,600,9.004740119e-1,1.080404639e0,0.479167,0df443fafd170ce4
1,0,a303d1ea0000000c,hash_placebo,2400,2.815591991e-1,1.351861119e0,0.614583,fc4765530392d656
1,0,a303d1ea0000000c,hash_placebo,4200,9.180162102e-2,1.830683351e0,0.593750,55e70caacf3941b5
1,1,a303d1ea0000000d,projected_order_1d,0,1.117396593e0,1.129448175e0,0.312500,f526c642b4252d0e
1,1,a303d1ea0000000d,projected_order_1d,600,8.707849979e-1,1.032489181e0,0.489583,1387269720ff51e4
1,1,a303d1ea0000000d,projected_order_1d,2400,3.437618315e-1,1.389601111e0,0.489583,19aaea6ba326018c
1,1,a303d1ea0000000d,projected_order_1d,4200,2.076090574e-1,1.630477905e0,0.520833,7887cfc486480ad2
1,1,a303d1ea0000000d,hash_placebo,0,1.117396593e0,1.129448175e0,0.312500,f526c642b4252d0e
