dataset_index,initialization_index,stream_seed,arm,refresh_slot,partition_epoch,hash_partition_id,partition_fingerprint,feature_ns,ordering_or_hash_ns
0,2,a303d1ea00000005,projected_order_1d,1300,13,,3d1a56a35e335c55,7300,7900
0,2,a303d1ea00000005,projected_order_1d,1400,14,,9ddedfe2830ade31,7600,7400
0,2,a303d1ea00000005,projected_order_1d,1500,15,,44a00b5d16d9ff6d,8000,12000
0,2,a303d1ea00000005,projected_order_1d,1600,16,,e98b37f4fb4ee8f9,7300,8600
0,2,a303d1ea00000005,projected_order_1d,1700,17,,866472035d10ab2d,7300,8200
0,2,a303d1ea00000005,projected_order_1d,1800,18,,0e56002c46217429,7200,8300
0,2,a303d1ea00000005,projected_order_1d,1900,19,,710f2d69be18de21,7200,7800
0,2,a303d1ea00000005,projected_order_1d,2000,20,,f7fe82420a3f14bd,8700,11300
0,2,a303d1ea00000005,projected_order_1d,2100,21,,32ee450dc4241481,7500,8200
0,2,a303d1ea00000005,projected_order_1d,2200,22,,4f0d06ea316d1ad1,7500,26200
0,2,a303d1ea00000005,projected_order_1d,2300,23,,9618f681d45cc739,7400,8300
0,2,a303d1ea00000005,projected_order_1d,2400,24,,289075df560f2845,7300,8300
0,2,a303d1ea00000005,projected_order_1d,2500,25,,55bf57f203c31345,8500,12700
0,2,a303d1ea00000005,projected_order_1d,2600,26,,606ffd171531b1b5,7400,8400
0,2,a303d1ea00000005,projected_order_1d,2700,27,,6090c09a049daad1,7300,7700
0,2,a303d1ea00000005,projected_order_1d,2800,28,,06d3d9693d856d91,7300,14300
0,2,a303d1ea00000005,projected_order_1d,2900,29,,0cf3d860b4504921,7400,8300
0,2,a303d1ea00000005,projected_order_1d,3000,30,,18c55969439b5779,7500,8300
0,2,a303d1ea00000005,projected_order_1d,3100,31,,f0d646016e463579,7400,8100
0,2,a303d1ea00000005,projected_order_1d,3200,32,,61e7e62b7e75e591,7300,8900
0,2,a303d1ea00000005,projected_order_1d,3300,33,,3551997962f502cd,7300,8400
0,2,a303d1ea00000005,projected_order_1d,3400,34,,5637048bc7a70d6d,7600,7800
0,2,a303d1ea00000005,projected_order_1d,3500,35,,0f9def841dafd1b9,7500,8400
0,2,a303d1ea00000005,projected_order_1d,3600,36,,570298f9e859e5b5,7300,7900
0,2,a303d1ea00000005,projected_order_1d,3700,37,,ff7358eeb32c163d,7700,7700
0,2,a303d1ea00000005,projected_order_1d,3800,38,,0a4606a7003ca979,7400,8100
0,2,a303d1ea00000005,projected_order_1d,3900,39,,797db55a7a7607ad,7400,8100
0,2,a303d1ea00000005,projected_order_1d,4000,40,,c560c392000abf19,7500,8100
0,2,a303d1ea00000005,projected_order_1d,4100,41,,3ef3015e5af4f9f5,8200,10500
0,2,a303d1ea00000005,hash_placebo,0,0,6,136f7bc9ccab051d,0,4000
0,2,a303d1ea00000006,projected_order_1d,0,0,,1e063c59740c0a11,7200,8200
0,2,a303d1ea00000006,projected_order_1d,100,1,,c0d02587ef1a3849,9400,16400
0,2,a303d1ea00000006,projected_order_1d,200,2,,7347f105e5998011,7400,8100
0,2,a303d1ea00000006,projected_order_1d,300,3,,ec32012d651dc325,7600,8200
0,2,a303d1ea00000006,projected_order_1d,400,4,,d8f70a7f47c52369,7300,7400
0,2,a303d1ea00000006,projected_order_1d,500,5,,7dc292589da9d2dd,8800,10900
0,2,a303d1ea00000006,projected_order_1d,600,6,,8efd5b7926269ecd,7400,8300
