cell_id,dataset_id,initialization_id,arm,step,train_loss,final_loss,final_accuracy,population_loss,population_accuracy,operational_loss,operational_gap,verifier_size,support_size,panel_id
3,0,3,sentinel_fresh,600,1.000468373,1.044870973,0.447916657,1.007543564,0.458740234,0.970821857,-0.074049115,128,19200,149
3,0,3,sentinel_fresh,2400,0.804942608,0.827952087,0.593750000,0.840115964,0.580322266,0.821494102,-0.006457984,128,76800,599
3,0,3,sentinel_fresh,4200,0.747862875,0.786329508,0.625000000,0.797888875,0.598388672,0.808719158,0.022389650,128,134400,1049
4,0,4,sentinel_k1,0,1.094079852,1.091580510,0.270833343,1.100213528,0.332275391,1.098978877,0.007398367,128,128,0
4,0,4,sentinel_k1,600,1.090026498,1.009400129,0.468750000,1.074053407,0.469970703,0.804476202,-0.204923928,128,128,0
4,0,4,sentinel_k1,2400,1.629916549,1.388709903,0.625000000,1.726036549,0.580566406,0.198722154,-1.189987779,128,128,0
4,0,4,sentinel_k1,4200,2.995002747,2.133364439,0.677083313,2.884551048,0.574707031,0.041360434,-2.092004061,128,128,0
4,0,4,sentinel_k4_cyclic,0,1.094079852,1.091580510,0.270833343,1.100213528,0.332275391,1.098978877,0.007398367,128,512,0
4,0,4,sentinel_k4_cyclic,600,1.015190482,1.018338561,0.510416687,1.005582809,0.515136719,0.947427630,-0.070910931,128,512,1
4,0,4,sentinel_k4_cyclic,2400,0.801569223,0.804613829,0.614583313,0.890441418,0.587890625,0.698684216,-0.105929613,128,512,3
4,0,4,sentinel_k4_cyclic,4200,0.636355639,0.682324231,0.708333313,0.823155105,0.642089844,0.629862964,-0.052461267,128,512,1
4,0,4,sentinel_k16_cyclic,0,1.094079852,1.091580510,0.270833343,1.100213528,0.332275391,1.098978877,0.007398367,128,2048,0
4,0,4,sentinel_k16_cyclic,600,1.000983596,1.006991744,0.364583343,0.997789741,0.480224609,0.990347326,-0.016644418,128,2048,5
4,0,4,sentinel_k16_cyclic,2400,0.806903660,0.848030627,0.552083313,0.852517903,0.568115234,0.798673332,-0.049357295,128,2048,7
4,0,4,sentinel_k16_cyclic,4200,0.704567850,0.794047415,0.604166687,0.826535881,0.594482422,0.843438923,0.049391508,128,2048,9
4,0,4,sentinel_k16_blocked,0,1.094079852,1.091580510,0.270833343,1.100213528,0.332275391,1.098978877,0.007398367,128,2048,0
4,0,4,sentinel_k16_blocked,600,1.005951643,1.017727733,0.468750000,0.991878927,0.476074219,0.907938898,-0.109788835,128,2048,2
4,0,4,sentinel_k16_blocked,2400,0.852874994,0.739654779,0.645833313,0.873573542,0.602294922,0.915045500,0.175390720,128,2048,9
4,0,4,sentinel_k16_blocked,4200,0.761760294,0.766260326,0.656250000,1.055660129,0.619628906,0.383133441,-0.383126885,128,2048,15
4,0,4,sentinel_k16_pooled,0,1.094079852,1.091580510,0.270833343,1.100213528,0.332275391,1.101402760,0.009822249,2048,2048,0
4,0,4,sentinel_k16_pooled,600,0.868665457,0.876505613,0.468750000,0.863221884,0.549072266,0.845430076,-0.031075537,2048,2048,0
4,0,4,sentinel_k16_pooled,2400,0.505882621,0.478110075,0.822916687,0.540288448,0.774414062,0.473414630,-0.004695445,2048,2048,0
4,0,4,sentinel_k16_pooled,4200,0.428779006,0.391785771,0.833333313,0.470881045,0.802001953,0.367261797,-0.024523973,2048,2048,0
4,0,4,sentinel_k64_cyclic,0,1.094079852,1.091580510,0.270833343,1.100213528,0.332275391,1.098978877,0.007398367,128,8192,0
4,0,4,sentinel_k64_cyclic,600,1.018615484,1.011688352,0.427083343,1.005865932,0.487792969,1.037353992,0.025665641,128,8192,21
4,0,4,sentinel_k64_cyclic,2400,0.779067695,0.799041331,0.593750000,0.815920115,0.581542969,0.789334536,-0.009706795,128,8192,23
4,0,4,sentinel_k64_cyclic,4200,0.661825240,0.736331046,0.593750000,0.776933610,0.609619141,0.730157256,-0.006173790,128,8192,25
4,0,4,sentinel_fresh,0,1.094079852,1.091580510,0.270833343,1.100213528,0.332275391,1.098978877,0.007398367,128,128,0
4,0,4,sentinel_fresh,600,1.021165729,1.010568500,0.489583343,1.001977563,0.491699219,0.991611421,-0.018957078,128,19200,149
4,0,4,sentinel_fresh,2400,0.787049830,0.806764424,0.625000000,0.823253036,0.562255859,0.895330369,0.088565946,128,76800,599
4,0,4,sentinel_fresh,4200,0.649122536,0.775134027,0.635416687,0.762447834,0.633056641,0.762738466,-0.012395561,128,134400,1049
5,1,0,sentinel_k1,0,1.088775396,1.097302198,0.385416657,1.098338366,0.355224609,1.104568362,0.007266164,128,128,0
5,1,0,sentinel_k1,600,0.916073501,1.198051453,0.447916657,1.149957895,0.475097656,0.774369538,-0.423681915,128,128,0
5,1,0,sentinel_k1,2400,1.658583045,1.863964677,0.593750000,1.872291088,0.578369141,0.123984277,-1.739980459,128,128,0
5,1,0,sentinel_k1,4200,3.218598127,3.172153473,0.645833313,3.156284571,0.614013672,0.008930854,-3.163222551,128,128,0
5,1,0,sentinel_k4_cyclic,0,1.088775396,1.097302198,0.385416657,1.098338366,0.355224609,1.104568362,0.007266164,128,512,0
5,1,0,sentinel_k4_cyclic,600,0.994271576,1.033411145,0.468750000,1.051023841,0.435058594,1.021218181,-0.012192965,128,512,1
5,1,0,sentinel_k4_cyclic,2400,0.747582018,0.982921898,0.541666687,0.931259513,0.568603516,0.832626045,-0.150295854,128,512,3
5,1,0,sentinel_k4_cyclic,4200,0.556452692,0.894184291,0.625000000,0.809153914,0.663085938,0.603694260,-0.290490031,128,512,1
5,1,0,sentinel_k16_cyclic,0,1.088775396,1.097302198,0.385416657,1.098338366,0.355224609,1.104568362,0.007266164,128,2048,0
