cell_id,arm,step,train_loss,model_offset,model_bytes
6,sentinel_k16_cyclic,4200,0.596184194,122436,684
6,sentinel_k16_blocked,0,1.099622607,123120,684
6,sentinel_k16_blocked,600,0.853736341,123804,684
6,sentinel_k16_blocked,2400,0.613088548,124488,684
6,sentinel_k16_blocked,4200,0.843525887,125172,684
6,sentinel_k16_pooled,0,1.099622607,125856,684
6,sentinel_k16_pooled,600,0.856962204,126540,684
6,sentinel_k16_pooled,2400,0.514969647,127224,684
6,sentinel_k16_pooled,4200,0.484822005,127908,684
6,sentinel_k64_cyclic,0,1.099622607,128592,684
6,sentinel_k64_cyclic,600,0.882258236,129276,684
6,sentinel_k64_cyclic,2400,0.741391003,129960,684
6,sentinel_k64_cyclic,4200,0.603433073,130644,684
6,sentinel_fresh,0,1.099622607,131328,684
6,sentinel_fresh,600,0.882020772,132012,684
6,sentinel_fresh,2400,0.780079424,132696,684
6,sentinel_fresh,4200,0.685877740,133380,684
7,sentinel_k1,0,1.116266608,134064,684
7,sentinel_k1,600,0.918609440,134748,684
7,sentinel_k1,2400,1.880646706,135432,684
7,sentinel_k1,4200,3.638106108,136116,684
7,sentinel_k4_cyclic,0,1.116266608,136800,684
7,sentinel_k4_cyclic,600,0.971353471,137484,684
7,sentinel_k4_cyclic,2400,0.790548563,138168,684
7,sentinel_k4_cyclic,4200,0.660943449,138852,684
7,sentinel_k16_cyclic,0,1.116266608,139536,684
7,sentinel_k16_cyclic,600,0.944962263,140220,684
7,sentinel_k16_cyclic,2400,0.715669930,140904,684
7,sentinel_k16_cyclic,4200,0.656061769,141588,684
7,sentinel_k16_blocked,0,1.116266608,142272,684
7,sentinel_k16_blocked,600,0.962141514,142956,684
7,sentinel_k16_blocked,2400,0.654803872,143640,684
7,sentinel_k16_blocked,4200,0.659712732,144324,684
7,sentinel_k16_pooled,0,1.116266608,145008,684
7,sentinel_k16_pooled,600,0.840735734,145692,684
7,sentinel_k16_pooled,2400,0.403105825,146376,684
7,sentinel_k16_pooled,4200,0.411484689,147060,684
7,sentinel_k64_cyclic,0,1.116266608,147744,684
7,sentinel_k64_cyclic,600,0.945236981,148428,684
7,sentinel_k64_cyclic,2400,0.631918848,149112,684
7,sentinel_k64_cyclic,4200,0.505749345,149796,684
7,sentinel_fresh,0,1.116266608,150480,684
7,sentinel_fresh,600,0.959481955,151164,684
7,sentinel_fresh,2400,0.613355756,151848,684
7,sentinel_fresh,4200,0.527841628,152532,684
8,sentinel_k1,0,1.105058074,153216,684
8,sentinel_k1,600,0.874419212,153900,684
8,sentinel_k1,2400,0.993915379,154584,684
8,sentinel_k1,4200,1.714013100,155268,684
8,sentinel_k4_cyclic,0,1.105058074,155952,684
8,sentinel_k4_cyclic,600,0.933228970,156636,684
8,sentinel_k4_cyclic,2400,0.809985936,157320,684
8,sentinel_k4_cyclic,4200,0.655856550,158004,684
8,sentinel_k16_cyclic,0,1.105058074,158688,684
8,sentinel_k16_cyclic,600,0.925347149,159372,684
8,sentinel_k16_cyclic,2400,0.771392286,160056,684
8,sentinel_k16_cyclic,4200,0.618283689,160740,684
8,sentinel_k16_blocked,0,1.105058074,161424,684
8,sentinel_k16_blocked,600,0.855157793,162108,684
8,sentinel_k16_blocked,2400,0.856750250,162792,684
8,sentinel_k16_blocked,4200,0.804485857,163476,684
8,sentinel_k16_pooled,0,1.105058074,164160,684
8,sentinel_k16_pooled,600,0.845107853,164844,684
8,sentinel_k16_pooled,2400,0.633477807,165528,684
8,sentinel_k16_pooled,4200,0.600939870,166212,684
8,sentinel_k64_cyclic,0,1.105058074,166896,684
8,sentinel_k64_cyclic,600,0.968868494,167580,684
8,sentinel_k64_cyclic,2400,0.732773066,168264,684
8,sentinel_k64_cyclic,4200,0.661023915,168948,684
8,sentinel_fresh,0,1.105058074,169632,684
8,sentinel_fresh,600,0.939810574,170316,684
8,sentinel_fresh,2400,0.808407307,171000,684
8,sentinel_fresh,4200,0.736535728,171684,684
9,sentinel_k1,0,1.080872059,172368,684
9,sentinel_k1,600,1.069066763,173052,684
9,sentinel_k1,2400,1.705376625,173736,684
9,sentinel_k1,4200,2.319529772,174420,684
9,sentinel_k4_cyclic,0,1.080872059,175104,684
9,sentinel_k4_cyclic,600,0.961345375,175788,684
9,sentinel_k4_cyclic,2400,0.835128009,176472,684
9,sentinel_k4_cyclic,4200,0.657055557,177156,684
9,sentinel_k16_cyclic,0,1.080872059,177840,684
9,sentinel_k16_cyclic,600,0.947405875,178524,684
9,sentinel_k16_cyclic,2400,0.766668618,179208,684
9,sentinel_k16_cyclic,4200,0.642752886,179892,684
9,sentinel_k16_blocked,0,1.080872059,180576,684
9,sentinel_k16_blocked,600,1.053854465,181260,684
9,sentinel_k16_blocked,2400,0.741009474,181944,684
9,sentinel_k16_blocked,4200,0.723531663,182628,684
9,sentinel_k16_pooled,0,1.080872059,183312,684
9,sentinel_k16_pooled,600,0.950220406,183996,684
9,sentinel_k16_pooled,2400,0.652299285,184680,684
9,sentinel_k16_pooled,4200,0.664693415,185364,684
9,sentinel_k64_cyclic,0,1.080872059,186048,684
9,sentinel_k64_cyclic,600,0.987479627,186732,684
9,sentinel_k64_cyclic,2400,0.807367980,187416,684
9,sentinel_k64_cyclic,4200,0.710730851,188100,684
9,sentinel_fresh,0,1.080872059,188784,684
9,sentinel_fresh,600,0.970662415,189468,684
9,sentinel_fresh,2400,0.770233870,190152,684
9,sentinel_fresh,4200,0.705970526,190836,684
10,sentinel_k1,0,1.091280103,191520,684
10,sentinel_k1,600,0.954801321,192204,684
10,sentinel_k1,2400,1.492342114,192888,684
10,sentinel_k1,4200,1.919133067,193572,684
10,sentinel_k4_cyclic,0,1.091280103,194256,684
10,sentinel_k4_cyclic,600,0.928663552,194940,684
10,sentinel_k4_cyclic,2400,0.800678909,195624,684
10,sentinel_k4_cyclic,4200,0.736879349,196308,684
10,sentinel_k16_cyclic,0,1.091280103,196992,684
10,sentinel_k16_cyclic,600,0.936407983,197676,684
10,sentinel_k16_cyclic,2400,0.809802949,198360,684
10,sentinel_k16_cyclic,4200,0.647491157,199044,684
10,sentinel_k16_blocked,0,1.091280103,199728,684
