fit_id,operator_id,arm,teacher_seed,learner_seed,epoch,train_loss
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,5,0.22898485729152177
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,6,0.200185366634789
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,7,0.1811133169433299
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,8,0.16505747503151427
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,9,0.15154209897316712
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,10,0.14015289065762315
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,11,0.12967721332086468
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,12,0.119526732729031
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,13,0.11036580187815208
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,14,0.10225986533707498
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,15,0.0948276789679462
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,16,0.08768960102869933
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,17,0.08084949537646054
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,18,0.07442045839018381
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,19,0.06872546970951927
"malecns-a1101-gx-cx-t6101-l7104","malecns-a1101-gx-cx","malecns",6101,7104,20,0.06385243849024794
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,1,0.6547201909760455
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,2,0.4962103727143963
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,3,0.3687535008350327
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,4,0.28100209198561166
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,5,0.23295975657296988
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,6,0.20564234833037395
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,7,0.18620585121272945
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,8,0.171026814190277
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,9,0.1583599470531341
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,10,0.14600866312174385
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,11,0.1352271727011571
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,12,0.12558736437923074
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,13,0.1167939260678366
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,14,0.10841197058265924
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,15,0.10081364109866658
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,16,0.09364698410713508
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,17,0.08654849564102957
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,18,0.07972302886852713
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,19,0.07440805826735032
"malecns-a1101-gx-cx-t6102-l7101","malecns-a1101-gx-cx","malecns",6102,7101,20,0.06894327115024898
"malecns-a1101-gx-cx-t6102-l7102","malecns-a1101-gx-cx","malecns",6102,7102,1,0.6624949987291561
"malecns-a1101-gx-cx-t6102-l7102","malecns-a1101-gx-cx","malecns",6102,7102,2,0.5079320430179843
"malecns-a1101-gx-cx-t6102-l7102","malecns-a1101-gx-cx","malecns",6102,7102,3,0.379539044696384
"malecns-a1101-gx-cx-t6102-l7102","malecns-a1101-gx-cx","malecns",6102,7102,4,0.2900491418506147
"malecns-a1101-gx-cx-t6102-l7102","malecns-a1101-gx-cx","malecns",6102,7102,5,0.23854727308410284
"malecns-a1101-gx-cx-t6102-l7102","malecns-a1101-gx-cx","malecns",6102,7102,6,0.20984299448040403
"malecns-a1101-gx-cx-t6102-l7102","malecns-a1101-gx-cx","malecns",6102,7102,7,0.19051230286101356
"malecns-a1101-gx-cx-t6102-l7102","malecns-a1101-gx-cx","malecns",6102,7102,8,0.1748264093862725
