fit_id,operator_id,arm,adapter_seed,graph_realization,control_seed,teacher_seed,learner_seed,status,heldout_bce,heldout_accuracy,final_train_loss
"malecns-a1104-gx-cx-t6104-l7102","malecns-a1104-gx-cx","malecns",1104,,,6104,7102,"complete",0.27937636337681243,0.89404296875,0.0784049231374813
"malecns-a1104-gx-cx-t6104-l7103","malecns-a1104-gx-cx","malecns",1104,,,6104,7103,"complete",0.2748463423838709,0.8935546875,0.08345904301998656
"malecns-a1104-gx-cx-t6104-l7104","malecns-a1104-gx-cx","malecns",1104,,,6104,7104,"complete",0.2796991045254571,0.895751953125,0.07355835561451218
"degree-a1101-g2101-cx-t6101-l7101","degree-a1101-g2101-cx","degree",1101,2101,,6101,7101,"complete",0.25099775770075866,0.90869140625,0.06221867481148799
"degree-a1101-g2101-cx-t6101-l7102","degree-a1101-g2101-cx","degree",1101,2101,,6101,7102,"complete",0.2325120603405289,0.90625,0.06781818865712963
"degree-a1101-g2101-cx-t6101-l7103","degree-a1101-g2101-cx","degree",1101,2101,,6101,7103,"complete",0.24670737560813377,0.91162109375,0.06392847420880864
"degree-a1101-g2101-cx-t6101-l7104","degree-a1101-g2101-cx","degree",1101,2101,,6101,7104,"complete",0.2474146140280469,0.914794921875,0.06383714917802812
"degree-a1101-g2101-cx-t6102-l7101","degree-a1101-g2101-cx","degree",1101,2101,,6102,7101,"complete",0.2349860891386359,0.909912109375,0.06891887887268887
"degree-a1101-g2101-cx-t6102-l7102","degree-a1101-g2101-cx","degree",1101,2101,,6102,7102,"complete",0.23355296210319543,0.90673828125,0.0725016841187447
"degree-a1101-g2101-cx-t6102-l7103","degree-a1101-g2101-cx","degree",1101,2101,,6102,7103,"complete",0.23484478154334343,0.906494140625,0.0684708121370398
"degree-a1101-g2101-cx-t6102-l7104","degree-a1101-g2101-cx","degree",1101,2101,,6102,7104,"complete",0.23415092898760193,0.909912109375,0.06839866414162718
"degree-a1101-g2101-cx-t6103-l7101","degree-a1101-g2101-cx","degree",1101,2101,,6103,7101,"complete",0.273394357239075,0.8955078125,0.07472585578970707
"degree-a1101-g2101-cx-t6103-l7102","degree-a1101-g2101-cx","degree",1101,2101,,6103,7102,"complete",0.2775411678177916,0.892333984375,0.0730526456624341
"degree-a1101-g2101-cx-t6103-l7103","degree-a1101-g2101-cx","degree",1101,2101,,6103,7103,"complete",0.2752103186645705,0.898681640625,0.0784950459721123
"degree-a1101-g2101-cx-t6103-l7104","degree-a1101-g2101-cx","degree",1101,2101,,6103,7104,"complete",0.2752304203271537,0.8955078125,0.07473784072105014
"degree-a1101-g2101-cx-t6104-l7101","degree-a1101-g2101-cx","degree",1101,2101,,6104,7101,"complete",0.2716055158118021,0.89404296875,0.08112619185813079
"degree-a1101-g2101-cx-t6104-l7102","degree-a1101-g2101-cx","degree",1101,2101,,6104,7102,"complete",0.279419596324451,0.89453125,0.07839684010837115
"degree-a1101-g2101-cx-t6104-l7103","degree-a1101-g2101-cx","degree",1101,2101,,6104,7103,"complete",0.2748189225489781,0.893310546875,0.0834230813328865
