seed,snapshot,source_kind,source_program_ordinal,step_offset,global_commit,step_status,program_present,program_left,program_right,program_len,delta_left,delta_right,invalid_source_step
9f4a7c15d6e8b301,600,ANCESTOR,-1,49,649,generated,true,84,105,2,-0.005,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,50,650,generated,true,78,113,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,51,651,generated,true,56,14,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,52,652,generated,true,50,22,2,0,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,53,653,generated,true,92,105,2,0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,54,654,generated,true,94,105,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,55,655,generated,true,96,105,2,-0.02,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,56,656,generated,true,80,0,2,0,0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,57,657,generated,true,69,13,2,0.01,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,58,658,generated,true,61,23,2,0.02,0.01,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,59,659,generated,true,96,113,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,60,660,generated,true,102,109,2,0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,61,661,generated,true,77,13,2,-0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,62,662,generated,true,79,13,2,0.02,-0.02,0
9f4a7c15d6e8b301,600,ANCESTOR,-1,63,663,generated,true,56,38,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,1,2401,generated,true,105,21,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,2,2402,generated,true,116,12,2,-0.01,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,3,2403,generated,true,118,12,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,4,2404,generated,true,109,23,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,5,2405,generated,true,111,23,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,6,2406,generated,true,102,34,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,7,2407,generated,true,74,64,2,0.02,0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,8,2408,generated,true,3,14,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,9,2409,generated,true,4,15,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,10,2410,generated,true,6,15,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,11,2411,generated,true,8,15,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,12,2412,generated,true,2,23,2,-0.02,0.02,0
