seed,snapshot,domain,slot,selected_ordinal,c1_ordinal,c2_ordinal,selected_utility,c1_utility,c2_utility,utility_stratum,first_dx_units,first_dy_units,second_dx_units,second_dy_units,vector_residual_x,vector_residual_y,magnitude_error_units,selected_c1_utility_gap,c1_c2_utility_gap,status,duplicate_cc
b492b66fbe98f273,4200,D2_MAGNITUDE_ONLY,1,1,15,36,-5.385279655e-5,-5.385279655e-5,-5.385279655e-5,2,-4,0,5,0,-9,0,1.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
6a09e667f3bcc909,600,D1_EXACT_VECTOR,0,9,11,7,5.393028259e-4,5.186796188e-4,4.957318306e-4,1,0,2,0,2,0,0,0.000000000000e0,2.062320709e-5,2.294778824e-5,MATCHED,false
6a09e667f3bcc909,600,D1_EXACT_VECTOR,1,9,13,-1,5.393028259e-4,5.075931549e-4,,1,0,3,-1,-1,0,0,NaN,3.170967102e-5,,NO_C2,false
6a09e667f3bcc909,600,D2_MAGNITUDE_ONLY,0,9,11,13,5.393028259e-4,5.186796188e-4,5.075931549e-4,1,0,2,0,1,0,1,1.000000000000e0,2.062320709e-5,1.108646393e-5,MATCHED,false
6a09e667f3bcc909,600,D2_MAGNITUDE_ONLY,1,9,13,-1,5.393028259e-4,5.075931549e-4,,1,0,3,-1,-1,0,0,NaN,3.170967102e-5,,NO_C2,false
6a09e667f3bcc909,2400,D1_EXACT_VECTOR,0,15,29,-1,6.218850613e-4,5.787611008e-4,,1,2,0,-1,-1,0,0,NaN,4.312396049e-5,,NO_C2,false
6a09e667f3bcc909,2400,D1_EXACT_VECTOR,1,15,-1,-1,6.218850613e-4,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
6a09e667f3bcc909,2400,D2_MAGNITUDE_ONLY,0,15,29,-1,6.218850613e-4,5.787611008e-4,,1,2,0,-1,-1,0,0,NaN,4.312396049e-5,,NO_C2,false
6a09e667f3bcc909,2400,D2_MAGNITUDE_ONLY,1,15,-1,-1,6.218850613e-4,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
6a09e667f3bcc909,4200,D1_EXACT_VECTOR,0,14,33,-1,2.309083939e-4,2.136230469e-4,,1,2,1,-1,-1,0,0,NaN,1.728534698e-5,,NO_C2,false
6a09e667f3bcc909,4200,D1_EXACT_VECTOR,1,14,28,-1,2.309083939e-4,2.724230289e-4,,1,2,0,-1,-1,0,0,NaN,4.151463509e-5,,NO_C2,false
6a09e667f3bcc909,4200,D2_MAGNITUDE_ONLY,0,14,33,-1,2.309083939e-4,2.136230469e-4,,1,2,1,-1,-1,0,0,NaN,1.728534698e-5,,NO_C2,false
6a09e667f3bcc909,4200,D2_MAGNITUDE_ONLY,1,14,28,-1,2.309083939e-4,2.724230289e-4,,1,2,0,-1,-1,0,0,NaN,4.151463509e-5,,NO_C2,false
bb67ae8584caa73b,600,D1_EXACT_VECTOR,0,9,11,7,4.054903984e-4,3.870129585e-4,3.626942635e-4,1,0,2,0,2,0,0,0.000000000000e0,1.847743988e-5,2.431869507e-5,MATCHED,false
bb67ae8584caa73b,600,D1_EXACT_VECTOR,1,9,13,-1,4.054903984e-4,3.757476807e-4,,1,0,3,-1,-1,0,0,NaN,2.974271774e-5,,NO_C2,false
bb67ae8584caa73b,600,D2_MAGNITUDE_ONLY,0,9,11,13,4.054903984e-4,3.870129585e-4,3.757476807e-4,1,0,2,0,1,0,1,1.000000000000e0,1.847743988e-5,1.126527786e-5,MATCHED,false
bb67ae8584caa73b,600,D2_MAGNITUDE_ONLY,1,9,13,-1,4.054903984e-4,3.757476807e-4,,1,0,3,-1,-1,0,0,NaN,2.974271774e-5,,NO_C2,false
bb67ae8584caa73b,2400,D1_EXACT_VECTOR,0,22,26,-1,-3.228187561e-4,-3.105401993e-4,,2,0,-3,-1,-1,0,0,NaN,1.227855682e-5,,NO_C2,false
bb67ae8584caa73b,2400,D1_EXACT_VECTOR,1,22,21,-1,-3.228187561e-4,-3.401339054e-4,,2,0,-4,-1,-1,0,0,NaN,1.731514931e-5,,NO_C2,false
bb67ae8584caa73b,2400,D2_MAGNITUDE_ONLY,0,22,26,39,-3.228187561e-4,-3.105401993e-4,-2.781152725e-4,2,0,-3,-1,-3,1,0,1.622776601684e-1,1.227855682e-5,3.242492676e-5,MATCHED,false
bb67ae8584caa73b,2400,D2_MAGNITUDE_ONLY,1,22,21,2,-3.228187561e-4,-3.401339054e-4,-2.931058407e-4,2,0,-4,-2,-4,2,0,4.721359549996e-1,1.731514931e-5,4.702806473e-5,MATCHED,false
bb67ae8584caa73b,4200,D1_EXACT_VECTOR,0,16,-1,-1,2.859860659e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
bb67ae8584caa73b,4200,D1_EXACT_VECTOR,1,16,-1,-1,2.859860659e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
bb67ae8584caa73b,4200,D2_MAGNITUDE_ONLY,0,16,-1,-1,2.859860659e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
bb67ae8584caa73b,4200,D2_MAGNITUDE_ONLY,1,16,-1,-1,2.859860659e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
3c6ef372fe94f82b,600,D1_EXACT_VECTOR,0,14,17,15,4.470348358e-4,4.470348358e-4,4.470348358e-4,1,0,2,0,2,0,0,0.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
3c6ef372fe94f82b,600,D1_EXACT_VECTOR,1,14,19,17,4.470348358e-4,4.470348358e-4,4.470348358e-4,1,0,1,0,1,0,0,0.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
3c6ef372fe94f82b,600,D2_MAGNITUDE_ONLY,0,14,17,20,4.470348358e-4,4.470348358e-4,4.470348358e-4,1,0,2,0,-3,0,5,1.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
3c6ef372fe94f82b,600,D2_MAGNITUDE_ONLY,1,14,19,20,4.470348358e-4,4.470348358e-4,4.470348358e-4,1,0,1,0,-2,0,3,1.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
3c6ef372fe94f82b,2400,D1_EXACT_VECTOR,0,9,23,-1,1.122921705e-3,1.105368137e-3,,1,-2,0,-1,-1,0,0,NaN,1.755356789e-5,,NO_C2,false
3c6ef372fe94f82b,2400,D1_EXACT_VECTOR,1,9,37,-1,1.122921705e-3,1.084566116e-3,,1,-3,0,-1,-1,0,0,NaN,3.835558891e-5,,NO_C2,false
3c6ef372fe94f82b,2400,D2_MAGNITUDE_ONLY,0,9,23,37,1.122921705e-3,1.105368137e-3,1.084566116e-3,1,-2,0,-1,0,-1,0,1.000000000000e0,1.755356789e-5,2.080202103e-5,MATCHED,false
3c6ef372fe94f82b,2400,D2_MAGNITUDE_ONLY,1,9,37,-1,1.122921705e-3,1.084566116e-3,,1,-3,0,-1,-1,0,0,NaN,3.835558891e-5,,NO_C2,false
3c6ef372fe94f82b,4200,D1_EXACT_VECTOR,0,15,-1,-1,1.933664083e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
3c6ef372fe94f82b,4200,D1_EXACT_VECTOR,1,15,-1,-1,1.933664083e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
3c6ef372fe94f82b,4200,D2_MAGNITUDE_ONLY,0,15,-1,-1,1.933664083e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
3c6ef372fe94f82b,4200,D2_MAGNITUDE_ONLY,1,15,-1,-1,1.933664083e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
a54ff53a5f1d36f1,600,D1_EXACT_VECTOR,0,16,-1,-1,9.642243385e-4,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
a54ff53a5f1d36f1,600,D1_EXACT_VECTOR,1,16,-1,-1,9.642243385e-4,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
a54ff53a5f1d36f1,600,D2_MAGNITUDE_ONLY,0,16,-1,-1,9.642243385e-4,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
a54ff53a5f1d36f1,600,D2_MAGNITUDE_ONLY,1,16,-1,-1,9.642243385e-4,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
a54ff53a5f1d36f1,2400,D1_EXACT_VECTOR,0,9,-1,-1,8.885264397e-4,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
a54ff53a5f1d36f1,2400,D1_EXACT_VECTOR,1,9,-1,-1,8.885264397e-4,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
a54ff53a5f1d36f1,2400,D2_MAGNITUDE_ONLY,0,9,-1,-1,8.885264397e-4,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
a54ff53a5f1d36f1,2400,D2_MAGNITUDE_ONLY,1,9,-1,-1,8.885264397e-4,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
a54ff53a5f1d36f1,4200,D1_EXACT_VECTOR,0,1,22,8,1.096576452e-3,1.096576452e-3,1.096576452e-3,1,2,0,2,0,0,0,0.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
a54ff53a5f1d36f1,4200,D1_EXACT_VECTOR,1,1,43,29,1.096576452e-3,1.096576452e-3,1.096576452e-3,1,-1,0,-1,0,0,0,0.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
a54ff53a5f1d36f1,4200,D2_MAGNITUDE_ONLY,0,1,22,36,1.096576452e-3,1.096576452e-3,1.096576452e-3,1,2,0,-1,0,3,0,1.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
a54ff53a5f1d36f1,4200,D2_MAGNITUDE_ONLY,1,1,43,36,1.096576452e-3,1.096576452e-3,1.096576452e-3,1,-1,0,2,0,-3,0,1.000000000000e0,0.000000000e0,0.000000000e0,MATCHED,false
510e527fade682d1,600,D1_EXACT_VECTOR,0,10,45,-1,-2.303123474e-4,-2.547502518e-4,,2,-5,0,-1,-1,0,0,NaN,2.443790436e-5,,NO_C2,false
510e527fade682d1,600,D1_EXACT_VECTOR,1,10,28,-1,-2.303123474e-4,-1.952052116e-4,,2,-6,-2,-1,-1,0,0,NaN,3.510713577e-5,,NO_C2,false
510e527fade682d1,600,D2_MAGNITUDE_ONLY,0,10,45,-1,-2.303123474e-4,-2.547502518e-4,,2,-5,0,-1,-1,0,0,NaN,2.443790436e-5,,NO_C2,false
510e527fade682d1,600,D2_MAGNITUDE_ONLY,1,10,28,-1,-2.303123474e-4,-1.952052116e-4,,2,-6,-2,-1,-1,0,0,NaN,3.510713577e-5,,NO_C2,false
510e527fade682d1,2400,D1_EXACT_VECTOR,0,16,18,-1,6.275177002e-4,5.921125412e-4,,1,0,2,-1,-1,0,0,NaN,3.540515900e-5,,NO_C2,false
