seed,snapshot,domain,slot,pair_kind,horizon,program_a_ordinal,program_b_ordinal,complete_horizon,delta_a,delta_ancestor,delta_b,source_interaction,identity_residual,path_divergent,differing_commits,first_difference,cumulative_action_l1,net_displacement_l1,invalid_path_a,invalid_path_ancestor,invalid_path_b
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,G_C1,64,44,30,true,1.361668109894e-4,9.956955909729e-5,1.336932182312e-4,2.473592758179e-6,0.000000000000e0,true,3,46,0.20999999530613422,0.12999999709427357,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,C1_C2,1,30,2,true,-4.181265830994e-5,-4.181265830994e-5,-4.181265830994e-5,0.000000000000e0,0.000000000000e0,true,20,18,1.1899999734014273,0.6499999854713678,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,C1_C2,2,30,2,true,-6.574392318726e-5,-6.574392318726e-5,-6.574392318726e-5,0.000000000000e0,0.000000000000e0,true,20,18,1.1899999734014273,0.6499999854713678,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,C1_C2,4,30,2,true,-7.596611976624e-5,-7.596611976624e-5,-7.596611976624e-5,0.000000000000e0,0.000000000000e0,true,20,18,1.1899999734014273,0.6499999854713678,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,C1_C2,8,30,2,true,-1.567900180817e-4,-1.580715179443e-4,-1.567900180817e-4,0.000000000000e0,0.000000000000e0,true,20,18,1.1899999734014273,0.6499999854713678,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,C1_C2,16,30,2,true,-3.418326377869e-4,-3.432035446167e-4,-3.418326377869e-4,0.000000000000e0,0.000000000000e0,true,20,18,1.1899999734014273,0.6499999854713678,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,C1_C2,32,30,2,true,-3.259479999542e-4,-3.094971179962e-4,-3.334283828735e-4,7.480382919312e-6,0.000000000000e0,true,20,18,1.1899999734014273,0.6499999854713678,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,0,C1_C2,64,30,2,true,-2.694725990295e-4,-2.014338970184e-4,-2.349615097046e-4,-3.451108932495e-5,0.000000000000e0,true,20,18,1.1899999734014273,0.6499999854713678,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,1,G_C1,1,44,2,true,-2.214312553406e-5,-2.214312553406e-5,-2.214312553406e-5,0.000000000000e0,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,1,G_C1,2,44,2,true,-3.412365913391e-5,-3.412365913391e-5,-3.412365913391e-5,0.000000000000e0,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
