policy,epoch,loss_before,loss_after,accuracy_after,selected_primitives,programs,utility_evaluations
G0-dynamic-random,181,0.03046339,0.03046339,1.00000000,0,0,2904
G0-dynamic-random,182,0.03046339,0.03046339,1.00000000,0,0,3229
G0-dynamic-random,183,0.03046339,0.02958738,1.00000000,15,7,24140
G0-dynamic-random,184,0.02958738,0.02958738,1.00000000,0,0,2951
G0-dynamic-random,185,0.02958738,0.02958738,1.00000000,0,0,2431
G0-dynamic-random,186,0.02958738,0.02795976,1.00000000,15,5,17020
G0-dynamic-random,187,0.02795976,0.02794198,1.00000000,8,4,16026
G0-dynamic-random,188,0.02794198,0.02794198,1.00000000,0,0,2899
G0-dynamic-random,189,0.02794198,0.02794198,1.00000000,0,0,2624
G0-dynamic-random,190,0.02794198,0.02791437,1.00000000,6,2,9172
G0-dynamic-random,191,0.02791437,0.02791437,1.00000000,0,0,3224
G0-dynamic-random,192,0.02791437,0.02791437,1.00000000,0,0,4149
G0-dynamic-random,193,0.02791437,0.02791437,1.00000000,0,0,3824
G0-dynamic-random,194,0.02791437,0.02791437,1.00000000,0,0,2949
G0-dynamic-random,195,0.02791437,0.02791437,1.00000000,0,0,3224
G0-dynamic-random,196,0.02791437,0.02791437,1.00000000,0,0,3224
G0-dynamic-random,197,0.02791437,0.02791437,1.00000000,0,0,3224
G0-dynamic-random,198,0.02791437,0.02791437,1.00000000,0,0,3324
G0-dynamic-random,199,0.02791437,0.02791437,1.00000000,0,0,2724
G0-dynamic-random,200,0.02791437,0.02786382,1.00000000,9,3,12346
G0-dynamic-random,201,0.02786382,0.02786382,1.00000000,0,0,2949
G0-dynamic-random,202,0.02786382,0.02786382,1.00000000,0,0,2899
G0-dynamic-random,203,0.02786382,0.02786382,1.00000000,0,0,2299
G0-dynamic-random,204,0.02786382,0.02786382,1.00000000,0,0,3224
G0-dynamic-random,205,0.02786382,0.02709393,1.00000000,7,3,11846
G0-dynamic-random,206,0.02709393,0.02709393,1.00000000,0,0,2949
G0-dynamic-random,207,0.02709393,0.02709393,1.00000000,0,0,2899
G0-dynamic-random,208,0.02709393,0.02709393,1.00000000,0,0,2949
G0-dynamic-random,209,0.02709393,0.02709393,1.00000000,0,0,3224
G0-dynamic-random,210,0.02709393,0.02709393,1.00000000,0,0,2899
G0-dynamic-random,211,0.02709393,0.02709393,1.00000000,0,0,2949
G0-dynamic-random,212,0.02709393,0.02709393,1.00000000,0,0,2949
G0-dynamic-random,213,0.02709393,0.02560376,1.00000000,17,7,15615
G0-dynamic-random,214,0.02560376,0.02420630,1.00000000,16,8,20663
G0-dynamic-random,215,0.02420630,0.02242616,1.00000000,17,7,20884
G0-dynamic-random,216,0.02242616,0.02136940,1.00000000,17,7,21108
G0-dynamic-random,217,0.02136940,0.02004236,1.00000000,17,7,17654
G0-dynamic-random,218,0.02004236,0.01926697,1.00000000,17,7,17109
G0-dynamic-random,219,0.01926697,0.01855778,1.00000000,16,6,17009
G0-dynamic-random,220,0.01855778,0.01766380,1.00000000,16,8,20342
G0-dynamic-random,221,0.01766380,0.01689634,1.00000000,17,9,23021
G0-dynamic-random,222,0.01689634,0.01628719,1.00000000,17,7,19583
G0-dynamic-random,223,0.01628719,0.01590838,1.00000000,16,6,16734
G0-dynamic-random,224,0.01590838,0.01544185,1.00000000,17,7,19208
G0-dynamic-random,225,0.01544185,0.01517396,1.00000000,16,6,16559
G0-dynamic-random,226,0.01517396,0.01491884,1.00000000,17,7,19683
G0-dynamic-random,227,0.01491884,0.01469140,1.00000000,16,8,19803
G0-dynamic-random,228,0.01469140,0.01443465,1.00000000,15,7,19478
G0-dynamic-random,229,0.01443465,0.01426166,1.00000000,17,7,18084
G0-dynamic-random,230,0.01426166,0.01405906,1.00000000,17,7,21708
G0-dynamic-random,231,0.01405906,0.01392746,1.00000000,15,5,14015
G0-dynamic-random,232,0.01392746,0.01379255,1.00000000,16,6,17504
G0-dynamic-random,233,0.01379255,0.01365162,1.00000000,17,7,19474
G0-dynamic-random,234,0.01365162,0.01363280,1.00000000,7,3,9160
G0-dynamic-random,235,0.01363280,0.01363280,1.00000000,0,0,1954
G0-dynamic-random,236,0.01363280,0.01363280,1.00000000,0,0,1954
G0-dynamic-random,237,0.01363280,0.01363280,1.00000000,0,0,1954
G0-dynamic-random,238,0.01363280,0.01363280,1.00000000,0,0,1779
G0-dynamic-random,239,0.01363280,0.01361836,1.00000000,3,1,5408
G0-dynamic-random,240,0.01361836,0.01361836,1.00000000,0,0,1779
G0-dynamic-random,241,0.01361836,0.01361836,1.00000000,0,0,1954
G0-dynamic-random,242,0.01361836,0.01361836,1.00000000,0,0,1629
G0-dynamic-random,243,0.01361836,0.01361836,1.00000000,0,0,1454
G0-dynamic-random,244,0.01361836,0.01361836,1.00000000,0,0,1779
G0-dynamic-random,245,0.01361836,0.01361836,1.00000000,0,0,2704
G0-dynamic-random,246,0.01361836,0.01361836,1.00000000,0,0,2429
G0-dynamic-random,247,0.01361836,0.01359195,1.00000000,6,2,6512
G0-dynamic-random,248,0.01359195,0.01359195,1.00000000,0,0,1779
G0-dynamic-random,249,0.01359195,0.01359195,1.00000000,0,0,1454
G0-dynamic-random,250,0.01359195,0.01359195,1.00000000,0,0,2279
G0-dynamic-random,251,0.01359195,0.01359195,1.00000000,0,0,2204
G0-dynamic-random,252,0.01359195,0.01359195,1.00000000,0,0,2104
G0-dynamic-random,253,0.01359195,0.01359195,1.00000000,0,0,2104
G0-dynamic-random,254,0.01359195,0.01359195,1.00000000,0,0,1779
G0-dynamic-random,255,0.01359195,0.01359195,1.00000000,0,0,1954
G0-dynamic-random,256,0.01359195,0.01359195,1.00000000,0,0,1604
G0-dynamic-random,257,0.01359195,0.01359195,1.00000000,0,0,1779
G0-dynamic-random,258,0.01359195,0.01359195,1.00000000,0,0,1779
G0-dynamic-random,259,0.01359195,0.01359195,1.00000000,0,0,2279
G0-dynamic-random,260,0.01359195,0.01359195,1.00000000,0,0,1779
G0-dynamic-random,261,0.01359195,0.01359195,1.00000000,0,0,2529
G0-dynamic-random,262,0.01359195,0.01357990,1.00000000,3,1,4058
G0-dynamic-random,263,0.01357990,0.01357990,1.00000000,0,0,2104
G0-dynamic-random,264,0.01357990,0.01357990,1.00000000,0,0,2704
G0-dynamic-random,265,0.01357990,0.01357990,1.00000000,0,0,1954
G0-dynamic-random,266,0.01357990,0.01357990,1.00000000,0,0,1779
G0-dynamic-random,267,0.01357990,0.01357990,1.00000000,0,0,1604
G0-dynamic-random,268,0.01357990,0.01357990,1.00000000,0,0,1779
G0-dynamic-random,269,0.01357990,0.01357990,1.00000000,0,0,2204
G0-dynamic-random,270,0.01357990,0.01356855,1.00000000,3,1,3733
G0-dynamic-random,271,0.01356855,0.01355783,1.00000000,3,1,4233
G0-dynamic-random,272,0.01355783,0.01355783,1.00000000,0,0,1779
G0-dynamic-random,273,0.01355783,0.01355783,1.00000000,0,0,1929
G0-dynamic-random,274,0.01355783,0.01355783,1.00000000,0,0,2279
G0-dynamic-random,275,0.01355783,0.01355783,1.00000000,0,0,1454
G0-dynamic-random,276,0.01355783,0.01355783,1.00000000,0,0,1779
G0-dynamic-random,277,0.01355783,0.01355783,1.00000000,0,0,1629
G0-dynamic-random,278,0.01355783,0.01354776,1.00000000,3,1,4483
G0-dynamic-random,279,0.01354776,0.01354776,1.00000000,0,0,1954
G0-dynamic-random,280,0.01354776,0.01353826,1.00000000,3,1,5083
G0-dynamic-random,281,0.01353826,0.01353826,1.00000000,0,0,1779
G0-dynamic-random,282,0.01353826,0.01353826,1.00000000,0,0,2104
G0-dynamic-random,283,0.01353826,0.01353826,1.00000000,0,0,1454
G0-dynamic-random,284,0.01353826,0.01353826,1.00000000,0,0,1779
G0-dynamic-random,285,0.01353826,0.01353826,1.00000000,0,0,1454
G0-dynamic-random,286,0.01353826,0.01353826,1.00000000,0,0,1954
G0-dynamic-random,287,0.01353826,0.01353826,1.00000000,0,0,1954
G0-dynamic-random,288,0.01353826,0.01353826,1.00000000,0,0,2104
G0-dynamic-random,289,0.01353826,0.01353826,1.00000000,0,0,2204
G0-dynamic-random,290,0.01353826,0.01353826,1.00000000,0,0,2379
G0-dynamic-random,291,0.01353826,0.01353826,1.00000000,0,0,1954
G0-dynamic-random,292,0.01353826,0.01352932,1.00000000,3,1,4308
G0-dynamic-random,293,0.01352932,0.01352932,1.00000000,0,0,1954
G0-dynamic-random,294,0.01352932,0.01352932,1.00000000,0,0,1779
G0-dynamic-random,295,0.01352932,0.01352932,1.00000000,0,0,1604
G0-dynamic-random,296,0.01352932,0.01352932,1.00000000,0,0,1454
G0-dynamic-random,297,0.01352932,0.01352932,1.00000000,0,0,1954
G0-dynamic-random,298,0.01352932,0.01352932,1.00000000,0,0,1454
G0-dynamic-random,299,0.01352932,0.01352932,1.00000000,0,0,1629
G0-dynamic-random,300,0.01352932,0.01352932,1.00000000,0,0,2279
G0-dynamic-random,301,0.01352932,0.01352932,1.00000000,0,0,1454
G0-dynamic-random,302,0.01352932,0.01352092,1.00000000,3,1,4233
G0-dynamic-random,303,0.01352092,0.01352092,1.00000000,0,0,1954
G0-dynamic-random,304,0.01352092,0.01352092,1.00000000,0,0,1954
G0-dynamic-random,305,0.01352092,0.01352092,1.00000000,0,0,1954
G0-dynamic-random,306,0.01352092,0.01352092,1.00000000,0,0,1954
G0-dynamic-random,307,0.01352092,0.01352092,1.00000000,0,0,2104
G0-dynamic-random,308,0.01352092,0.01352092,1.00000000,0,0,1779
G0-dynamic-random,309,0.01352092,0.01351298,1.00000000,3,1,4058
G0-dynamic-random,310,0.01351298,0.01351298,1.00000000,0,0,2879
G0-dynamic-random,311,0.01351298,0.01351298,1.00000000,0,0,1779
G0-dynamic-random,312,0.01351298,0.01351298,1.00000000,0,0,2104
G0-dynamic-random,313,0.01351298,0.01351298,1.00000000,0,0,2379
G0-dynamic-random,314,0.01351298,0.01351298,1.00000000,0,0,1954
G0-dynamic-random,315,0.01351298,0.01351298,1.00000000,0,0,2104
G0-dynamic-random,316,0.01351298,0.01351298,1.00000000,0,0,1604
G0-dynamic-random,317,0.01351298,0.01351298,1.00000000,0,0,1779
G0-dynamic-random,318,0.01351298,0.01351298,1.00000000,0,0,2279
G0-dynamic-random,319,0.01351298,0.01351298,1.00000000,0,0,1779
G0-dynamic-random,320,0.01351298,0.01351298,1.00000000,0,0,1779
G0-dynamic-random,321,0.01351298,0.01351298,1.00000000,0,0,2104
G0-dynamic-random,322,0.01351298,0.01351298,1.00000000,0,0,1954
G0-dynamic-random,323,0.01351298,0.01351298,1.00000000,0,0,1779
G0-dynamic-random,324,0.01351298,0.01351298,1.00000000,0,0,2879
G0-dynamic-random,325,0.01351298,0.01351298,1.00000000,0,0,2879
G0-dynamic-random,326,0.01351298,0.01351298,1.00000000,0,0,1779
G0-dynamic-random,327,0.01351298,0.01351298,1.00000000,0,0,2279
G0-dynamic-random,328,0.01351298,0.01351298,1.00000000,0,0,1629
G0-dynamic-random,329,0.01351298,0.01351298,1.00000000,0,0,2104
G0-dynamic-random,330,0.01351298,0.01351298,1.00000000,0,0,2604
G0-dynamic-random,331,0.01351298,0.01351298,1.00000000,0,0,2279
G0-dynamic-random,332,0.01351298,0.01351298,1.00000000,0,0,1929
G0-dynamic-random,333,0.01351298,0.01351298,1.00000000,0,0,1954
G0-dynamic-random,334,0.01351298,0.01351298,1.00000000,0,0,2104
G0-dynamic-random,335,0.01351298,0.01351298,1.00000000,0,0,2704
G0-dynamic-random,336,0.01351298,0.01351298,1.00000000,0,0,2104
G0-dynamic-random,337,0.01351298,0.01351298,1.00000000,0,0,1779
G0-dynamic-random,338,0.01351298,0.01351298,1.00000000,0,0,1954
G0-dynamic-random,339,0.01351298,0.01351298,1.00000000,0,0,1779
G0-dynamic-random,340,0.01351298,0.01351298,1.00000000,0,0,1954
G0-dynamic-random,341,0.01351298,0.01351298,1.00000000,0,0,2279
G0-dynamic-random,342,0.01351298,0.01351298,1.00000000,0,0,1629
G0-dynamic-random,343,0.01351298,0.01351298,1.00000000,0,0,1604
G0-dynamic-random,344,0.01351298,0.01351298,1.00000000,0,0,1779
G0-dynamic-random,345,0.01351298,0.01351298,1.00000000,0,0,1954
G0-dynamic-random,346,0.01351298,0.01351298,1.00000000,0,0,2604
G0-dynamic-random,347,0.01351298,0.01351298,1.00000000,0,0,2104
G0-dynamic-random,348,0.01351298,0.01351298,1.00000000,0,0,2104
G0-dynamic-random,349,0.01351298,0.01351298,1.00000000,0,0,2104
G0-dynamic-random,350,0.01351298,0.01351298,1.00000000,0,0,2104
G0-dynamic-random,351,0.01351298,0.01351298,1.00000000,0,0,2379
G0-dynamic-random,352,0.01351298,0.01351298,1.00000000,0,0,1454
G0-dynamic-random,353,0.01351298,0.01350552,1.00000000,3,1,4333
G0-dynamic-random,354,0.01350552,0.01350552,1.00000000,0,0,1954
G0-dynamic-random,355,0.01350552,0.01350552,1.00000000,0,0,2279
G0-dynamic-random,356,0.01350552,0.01350552,1.00000000,0,0,2104
G0-dynamic-random,357,0.01350552,0.01350552,1.00000000,0,0,1954
G0-dynamic-random,358,0.01350552,0.01350552,1.00000000,0,0,1954
G0-dynamic-random,359,0.01350552,0.01350552,1.00000000,0,0,2279
G0-dynamic-random,360,0.01350552,0.01350552,1.00000000,0,0,2379
G0-dynamic-random,361,0.01350552,0.01350552,1.00000000,0,0,1954
G0-dynamic-random,362,0.01350552,0.01350552,1.00000000,0,0,1954
G0-dynamic-random,363,0.01350552,0.01350552,1.00000000,0,0,1779
G0-dynamic-random,364,0.01350552,0.01350552,1.00000000,0,0,3304
G0-dynamic-random,365,0.01350552,0.01350552,1.00000000,0,0,1954
G0-dynamic-random,366,0.01350552,0.01350552,1.00000000,0,0,1779
G0-dynamic-random,367,0.01350552,0.01350552,1.00000000,0,0,2554
G0-dynamic-random,368,0.01350552,0.01350552,1.00000000,0,0,2429
G0-dynamic-random,369,0.01350552,0.01350552,1.00000000,0,0,1779
G0-dynamic-random,370,0.01350552,0.01350552,1.00000000,0,0,2104
G0-dynamic-random,371,0.01350552,0.01350552,1.00000000,0,0,2529
G0-dynamic-random,372,0.01350552,0.01350552,1.00000000,0,0,1629
G0-dynamic-random,373,0.01350552,0.01350552,1.00000000,0,0,2279
