dataset_index,initialization_index,stream_seed,arm,step,train_loss,evaluation_loss,evaluation_accuracy,parameter_fingerprint
1,1,a303ea0000000009,projected_order_1d,600,9.230794311e-1,1.140644670e0,0.385417,6e6be802922ac66e
1,1,a303ea0000000009,projected_order_1d,2400,6.472894549e-1,1.271784186e0,0.468750,aa90a5332ecca127
1,1,a303ea0000000009,projected_order_1d,4200,3.886421919e-1,1.422862411e0,0.541667,3df0599e4bef51cb
1,1,a303ea0000000009,hash_placebo,0,1.105260968e0,1.094355464e0,0.437500,8f7eaa706e75bec2
1,1,a303ea0000000009,hash_placebo,600,9.550752640e-1,1.055324912e0,0.489583,4cdd7469f26a427d
1,1,a303ea0000000009,hash_placebo,2400,4.974122941e-1,1.315312266e0,0.531250,357c812ebb507e06
1,1,a303ea0000000009,hash_placebo,4200,3.397905529e-1,1.712373376e0,0.552083,f2148bd39a20aa35
1,1,a303ea000000000a,projected_order_1d,0,1.105260968e0,1.094355464e0,0.437500,8f7eaa706e75bec2
1,1,a303ea000000000a,projected_order_1d,600,8.916388154e-1,1.177220702e0,0.416667,b080e5eec565ec42
1,1,a303ea000000000a,projected_order_1d,2400,4.804964960e-1,1.479761958e0,0.500000,7532cf844696907d
1,1,a303ea000000000a,projected_order_1d,4200,2.706440091e-1,1.778815389e0,0.604167,17adb9423ecfed34
1,1,a303ea000000000a,hash_placebo,0,1.105260968e0,1.094355464e0,0.437500,8f7eaa706e75bec2
1,1,a303ea000000000a,hash_placebo,600,9.478806853e-1,1.139908433e0,0.375000,c1f99ffc03d77bc3
1,1,a303ea000000000a,hash_placebo,2400,6.071872115e-1,1.401668191e0,0.395833,574add36237059da
1,1,a303ea000000000a,hash_placebo,4200,2.404824495e-1,1.925120473e0,0.406250,911830e90a5fd104
1,2,a303ea000000000b,projected_order_1d,0,1.152556777e0,1.073021531e0,0.437500,6130575ff9ea97d2
1,2,a303ea000000000b,projected_order_1d,600,8.553234935e-1,1.132339597e0,0.458333,acfa5057861814ca
1,2,a303ea000000000b,projected_order_1d,2400,6.544342041e-1,1.216078162e0,0.520833,07d7b5c58170061d
1,2,a303ea000000000b,projected_order_1d,4200,4.969124496e-1,1.271724939e0,0.552083,f13ed2b5b96c94da
1,2,a303ea000000000b,hash_placebo,0,1.152556777e0,1.073021531e0,0.437500,6130575ff9ea97d2
1,2,a303ea000000000b,hash_placebo,600,8.965538144e-1,1.136561751e0,0.291667,3b1728a6eb62ba41
1,2,a303ea000000000b,hash_placebo,2400,6.074644923e-1,1.236619949e0,0.510417,4f46d7c24ec5ed04
1,2,a303ea000000000b,hash_placebo,4200,3.931219876e-1,1.621765256e0,0.500000,e12f6bb7c2c2d029
1,2,a303ea000000000c,projected_order_1d,0,1.152556777e0,1.073021531e0,0.437500,6130575ff9ea97d2
1,2,a303ea000000000c,projected_order_1d,600,8.409224153e-1,1.090786576e0,0.447917,27fb18d408e1ec98
1,2,a303ea000000000c,projected_order_1d,2400,4.526410997e-1,1.436000824e0,0.479167,631689dddeb02d19
1,2,a303ea000000000c,projected_order_1d,4200,3.165327609e-1,1.965291500e0,0.406250,5fda5d73895808c9
1,2,a303ea000000000c,hash_placebo,0,1.152556777e0,1.073021531e0,0.437500,6130575ff9ea97d2
