seed,snapshot_step,matched,control_slot,left_parameter,right_parameter,g3_left_delta,g3_right_delta,g3_utility,control_left_delta,control_right_delta,control_utility,utility_gap,control_stratum,g3_stratum,match_tolerance
a54ff53a5f1d36f1,600,true,1,18,73,0.020000000,-0.020000000,-0.000028610,-0.020000000,-0.005000000,-0.000027657,0.000000954,2,2,0.000050000
a54ff53a5f1d36f1,2400,true,0,119,5,0.010000000,0.020000000,0.001926005,0.005000000,0.020000000,0.001928747,0.000002742,1,1,0.000050000
a54ff53a5f1d36f1,2400,true,1,119,5,0.010000000,0.020000000,0.001926005,0.000000000,0.020000000,0.001931429,0.000005424,1,1,0.000050000
a54ff53a5f1d36f1,4200,true,0,68,89,0.010000000,0.020000000,0.000384986,0.005000000,0.020000000,0.000386596,0.000001609,1,1,0.000050000
a54ff53a5f1d36f1,4200,true,1,68,89,0.010000000,0.020000000,0.000384986,0.000000000,0.020000000,0.000388026,0.000003040,1,1,0.000050000
510e527fade682d1,600,true,0,112,102,0.020000000,0.020000000,0.000105858,0.020000000,0.010000000,0.000128984,0.000023127,1,1,0.000050000
510e527fade682d1,600,true,1,112,102,0.020000000,0.020000000,0.000105858,0.010000000,-0.020000000,0.000081897,0.000023961,1,1,0.000050000
510e527fade682d1,2400,true,0,106,18,-0.020000000,0.020000000,0.000410080,0.020000000,0.010000000,0.000414431,0.000004351,1,1,0.000050000
510e527fade682d1,2400,true,1,106,18,-0.020000000,0.020000000,0.000410080,-0.010000000,0.020000000,0.000416040,0.000005960,1,1,0.000050000
510e527fade682d1,4200,false,0,26,8,-0.020000000,0.020000000,-0.001310468,0,0,0,0,0,2,0.00005
510e527fade682d1,4200,false,1,26,8,-0.020000000,0.020000000,-0.001310468,0,0,0,0,0,2,0.00005
1f83d9abfb41bd6b,600,true,0,9,82,-0.020000000,0.020000000,0.000002623,0.005000000,-0.010000000,0.000002503,0.000000119,0,0,0.000050000
1f83d9abfb41bd6b,600,true,1,9,82,-0.020000000,0.020000000,0.000002623,0.000000000,-0.005000000,0.000003457,0.000000834,0,0,0.000050000
1f83d9abfb41bd6b,2400,true,0,90,34,0.010000000,0.020000000,0.000228167,0.005000000,0.020000000,0.000228643,0.000000477,1,1,0.000050000
1f83d9abfb41bd6b,2400,true,1,90,34,0.010000000,0.020000000,0.000228167,0.000000000,0.020000000,0.000226974,0.000001192,1,1,0.000050000
1f83d9abfb41bd6b,4200,true,0,26,8,-0.020000000,0.020000000,-0.001565278,-0.010000000,0.020000000,-0.001578689,0.000013411,2,2,0.000050000
1f83d9abfb41bd6b,4200,true,1,26,8,-0.020000000,0.020000000,-0.001565278,-0.005000000,0.020000000,-0.001586795,0.000021517,2,2,0.000050000
