seed,snapshot_step,control_slot,horizon,pg_valid,pc_valid,delta_pg,delta_pc,source_interaction,cumulative_j_pg,cumulative_j_pc,distance_pg,distance_pc,pg_invalid_step,pc_invalid_step
6a09e667f3bcc909,600,0,2,true,true,-1.186132431030e-5,-1.186132431030e-5,0.000000000000e0,8.761882781982e-6,8.761882781982e-6,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,600,0,4,true,true,-9.536743164062e-6,-9.536743164062e-6,0.000000000000e0,1.108646392822e-5,1.108646392822e-5,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,600,0,8,true,true,-1.066923141479e-5,-1.066923141479e-5,0.000000000000e0,9.953975677490e-6,9.953975677490e-6,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,600,0,16,true,true,-1.728534698486e-6,-1.728534698486e-6,0.000000000000e0,1.889467239380e-5,1.889467239380e-5,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,600,0,32,true,true,-2.634525299072e-5,-2.634525299072e-5,0.000000000000e0,-5.722045898438e-6,-5.722045898438e-6,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,600,0,64,true,true,-5.465745925903e-5,-5.465745925903e-5,0.000000000000e0,-3.403425216675e-5,-3.403425216675e-5,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,600,1,1,true,true,-3.170967102051e-5,-3.170967102051e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.500001549721e-2,1.500001549721e-2,0,0
6a09e667f3bcc909,600,1,2,true,true,-1.877546310425e-5,-1.877546310425e-5,0.000000000000e0,1.293420791626e-5,1.293420791626e-5,1.500001549721e-2,1.500001549721e-2,0,0
6a09e667f3bcc909,600,1,4,true,true,-1.537799835205e-5,-1.537799835205e-5,0.000000000000e0,1.633167266846e-5,1.633167266846e-5,1.500001549721e-2,1.500001549721e-2,0,0
6a09e667f3bcc909,600,1,8,true,true,-1.698732376099e-5,-1.698732376099e-5,0.000000000000e0,1.472234725952e-5,1.472234725952e-5,1.500001549721e-2,1.500001549721e-2,0,0
6a09e667f3bcc909,600,1,16,true,true,-3.576278686523e-6,-3.576278686523e-6,0.000000000000e0,2.813339233398e-5,2.813339233398e-5,1.500001549721e-2,1.500001549721e-2,0,0
6a09e667f3bcc909,600,1,32,true,true,-4.053115844727e-5,-4.053115844727e-5,0.000000000000e0,-8.821487426758e-6,-8.821487426758e-6,1.500001549721e-2,1.500001549721e-2,0,0
6a09e667f3bcc909,600,1,64,true,true,-8.320808410645e-5,-9.089708328247e-5,7.688999176025e-6,-5.149841308594e-5,-5.918741226196e-5,1.500001549721e-2,1.500001549721e-2,0,0
6a09e667f3bcc909,2400,0,1,true,true,-4.312396049500e-5,-4.312396049500e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,2400,0,2,true,true,-4.184246063232e-5,-4.184246063232e-5,0.000000000000e0,1.281499862671e-6,1.281499862671e-6,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,2400,0,4,true,true,-4.118680953979e-5,-4.118680953979e-5,0.000000000000e0,1.937150955200e-6,1.937150955200e-6,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,2400,0,8,true,true,-4.044175148010e-5,-4.044175148010e-5,0.000000000000e0,2.682209014893e-6,2.682209014893e-6,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,2400,0,16,true,true,-3.480911254883e-5,-3.480911254883e-5,0.000000000000e0,8.314847946167e-6,8.314847946167e-6,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,2400,0,32,true,true,-3.114342689514e-5,-3.114342689514e-5,0.000000000000e0,1.198053359985e-5,1.198053359985e-5,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,2400,0,64,true,true,-4.282593727112e-5,-4.354119300842e-5,7.152557373047e-7,2.980232238770e-7,-4.172325134277e-7,1.000002026558e-2,1.000002026558e-2,0,0
6a09e667f3bcc909,4200,0,1,true,true,-1.728534698486e-5,-1.728534698486e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.118032913655e-2,1.118032913655e-2,0,52
6a09e667f3bcc909,4200,0,2,true,true,-2.442598342896e-4,-2.442598342896e-4,0.000000000000e0,-2.269744873047e-4,-2.269744873047e-4,1.118032913655e-2,1.118032913655e-2,0,52
6a09e667f3bcc909,4200,0,4,true,true,8.846521377563e-4,8.846521377563e-4,0.000000000000e0,9.019374847412e-4,9.019374847412e-4,1.118032913655e-2,1.118032913655e-2,0,52
6a09e667f3bcc909,4200,0,8,true,true,9.095668792725e-4,9.095668792725e-4,0.000000000000e0,9.268522262573e-4,9.268522262573e-4,1.118032913655e-2,1.118032913655e-2,0,52
6a09e667f3bcc909,4200,0,16,true,true,-6.914138793945e-5,-8.845329284668e-5,1.931190490723e-5,-5.185604095459e-5,-7.116794586182e-5,1.118032913655e-2,1.118032913655e-2,0,52
6a09e667f3bcc909,4200,0,32,true,true,-8.738040924072e-4,-6.017982959747e-4,-2.720057964325e-4,-8.565187454224e-4,-5.845129489899e-4,1.118032913655e-2,1.118032913655e-2,0,52
6a09e667f3bcc909,4200,0,64,true,false,-2.323925495148e-3,,,-2.306640148163e-3,,1.118032913655e-2,,0,52
6a09e667f3bcc909,4200,1,1,true,true,4.151463508606e-5,4.151463508606e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,9.999990463257e-3,9.999990463257e-3,0,0
6a09e667f3bcc909,4200,1,2,true,true,-3.632307052612e-4,6.460547447205e-4,-1.009285449982e-3,-4.047453403473e-4,6.045401096344e-4,9.999990463257e-3,9.999990463257e-3,0,0
6a09e667f3bcc909,4200,1,4,true,true,9.815096855164e-4,1.136422157288e-3,-1.549124717712e-4,9.399950504303e-4,1.094907522202e-3,9.999990463257e-3,9.999990463257e-3,0,0
6a09e667f3bcc909,4200,1,8,true,true,1.018643379211e-3,1.244276762009e-3,-2.256333827972e-4,9.771287441254e-4,1.202762126923e-3,9.999990463257e-3,9.999990463257e-3,0,0
6a09e667f3bcc909,4200,1,16,true,true,-1.168251037598e-5,3.272294998169e-5,-4.440546035767e-5,-5.319714546204e-5,-8.791685104370e-6,9.999990463257e-3,9.999990463257e-3,0,0
6a09e667f3bcc909,4200,1,32,true,true,-9.226799011230e-4,-5.382895469666e-4,-3.843903541565e-4,-9.641945362091e-4,-5.798041820526e-4,9.999990463257e-3,9.999990463257e-3,0,0
