role,seed,step,method,sample_index,stratum,kmeans_iterations,within_sse
evaluation,96e104bd3c72a85f,600,hash_placebo_00,29,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,30,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,31,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,32,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,33,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,34,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,35,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,36,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,37,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,38,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,39,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,40,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,41,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,42,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,43,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,44,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,45,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,46,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,47,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,48,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,49,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,50,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,51,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,52,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,53,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,54,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,55,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,56,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,57,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,58,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,59,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,60,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,61,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,62,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,63,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,64,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,65,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,66,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,67,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,68,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,69,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,70,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,71,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,72,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,73,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,74,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,75,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,76,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,77,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,78,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,79,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,80,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,81,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,82,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,83,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,84,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,85,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,86,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,87,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,88,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,89,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,90,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,91,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,92,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,93,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,94,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_00,95,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,0,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,1,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,2,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,3,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,4,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,5,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,6,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,7,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,8,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,9,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,10,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,11,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,12,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,13,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,14,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,15,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,16,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,17,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,18,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,19,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,20,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,21,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,22,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,23,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,24,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,25,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,26,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,27,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,28,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,29,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,30,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,31,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,32,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,33,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,34,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,35,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,36,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,37,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,38,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,39,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,40,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,41,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,42,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,43,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,44,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,45,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,46,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,47,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,48,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,49,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,50,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,51,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,52,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,53,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,54,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,55,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,56,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,57,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,58,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,59,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,60,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,61,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,62,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,63,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,64,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,65,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,66,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,67,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,68,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,69,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,70,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,71,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,72,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,73,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,74,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,75,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,76,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,77,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,78,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,79,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,80,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,81,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,82,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,83,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,84,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,85,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,86,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,87,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,88,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,89,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,90,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,91,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,92,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,93,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,94,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_01,95,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,0,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,1,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,2,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,3,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,4,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,5,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,6,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,7,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,8,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,9,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,10,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,11,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,12,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,13,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,14,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,15,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,16,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,17,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,18,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,19,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,20,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,21,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,22,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,23,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,24,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,25,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,26,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,27,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,28,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,29,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,30,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,31,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,32,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,33,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,34,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,35,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,36,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,37,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,38,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,39,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,40,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,41,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,42,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,43,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,44,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,45,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,46,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,47,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,48,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,49,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,50,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,51,6,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,52,9,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,53,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,54,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,55,5,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,56,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,57,2,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,58,11,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,59,1,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,60,3,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,61,8,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,62,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,63,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,64,7,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,65,4,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,66,0,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,67,10,0,0.000000000000e0
evaluation,96e104bd3c72a85f,600,hash_placebo_02,68,5,0,0.000000000000e0
