seed,step,method,panel,candidate_count,utility_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization
96e104bd3c72a85f,600,hash_placebo_00,53,122,4.289653907720e-4,0.432692308,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_00,54,122,2.834265702297e-4,0.346153846,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,55,122,3.889089094201e-4,0.336538462,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,56,122,3.349128842340e-4,0.317307692,6.403426523320e-4,6.429931963794e-4,false
96e104bd3c72a85f,600,hash_placebo_00,57,122,2.354702861905e-4,0.182692308,6.403426523320e-4,6.429931963794e-4,false
96e104bd3c72a85f,600,hash_placebo_00,58,122,1.637001088574e-4,0.096153846,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,59,122,1.557177354856e-4,0.259615385,6.088099326007e-4,6.088099326007e-4,false
96e104bd3c72a85f,600,hash_placebo_00,60,122,1.366824585774e-4,0.182692308,6.403426523320e-4,6.429931963794e-4,false
96e104bd3c72a85f,600,hash_placebo_00,61,122,1.951511523100e-4,0.288461538,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_00,62,122,2.957605626446e-4,0.211538462,2.251646365039e-4,2.251646365039e-4,false
96e104bd3c72a85f,600,hash_placebo_00,63,122,2.108862671777e-4,0.240384615,6.373773212545e-4,6.373773212545e-4,false
96e104bd3c72a85f,600,hash_placebo_01,0,122,3.523368924579e-4,0.173076923,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_01,1,122,2.152250232694e-4,0.230769231,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_01,2,122,3.383935389619e-4,0.528846154,6.088099326007e-4,6.088099326007e-4,false
96e104bd3c72a85f,600,hash_placebo_01,3,122,2.728692726523e-4,0.288461538,3.338400565553e-4,3.338400565553e-4,false
96e104bd3c72a85f,600,hash_placebo_01,4,122,2.970917622191e-4,0.451923077,6.088099326007e-4,6.088099326007e-4,false
96e104bd3c72a85f,600,hash_placebo_01,5,122,4.720625492477e-4,0.336538462,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_01,6,122,3.137313373168e-4,0.192307692,6.403426523320e-4,6.429931963794e-4,false
96e104bd3c72a85f,600,hash_placebo_01,7,122,2.248802085345e-4,0.211538462,3.527111257426e-4,3.527111257426e-4,false
96e104bd3c72a85f,600,hash_placebo_01,8,122,2.025253459482e-4,0.326923077,3.338400565553e-4,3.338400565553e-4,false
96e104bd3c72a85f,600,hash_placebo_01,9,122,3.141062072338e-4,0.336538462,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_01,10,122,1.799750639559e-4,0.182692308,6.403426523320e-4,6.429931963794e-4,false
96e104bd3c72a85f,600,hash_placebo_01,11,122,1.831296294616e-4,0.221153846,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_01,12,122,3.496796876471e-4,0.326923077,3.527111257426e-4,3.527111257426e-4,false
96e104bd3c72a85f,600,hash_placebo_01,13,122,2.220758276919e-4,0.269230769,6.403426523320e-4,6.429931963794e-4,false
96e104bd3c72a85f,600,hash_placebo_01,14,122,3.649031579636e-4,0.259615385,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_01,15,122,3.729482411980e-4,0.278846154,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_01,16,122,2.755271871262e-4,0.394230769,0.000000000000e0,0.000000000000e0,false
