method,seed,n_states,scale,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
hash_placebo_mean,6e1903d4a7c285bf,3,1.0,3.964824675696e-5,5.976623858763e-4,5.964672380668e-4,0.330821078,5.211351755422e-4,5.772431467606e-4,0.163411458
hash_placebo_mean,9d047ac26e31b58f,3,1.0,1.660313503108e-5,4.115367417872e-4,4.117746929498e-4,0.316600970,4.428070231404e-4,4.938735818696e-4,0.197916667
hash_placebo_mean,b27c5e0983d164af,3,1.0,4.349093332517e-5,6.346058458868e-4,6.340705749117e-4,0.296009146,8.148378853514e-4,9.094052556845e-4,0.147135417
hash_placebo_mean,d5a841f07c3692eb,3,1.0,2.355819617994e-5,4.846159741595e-4,4.809191086841e-4,0.304241892,4.333589945430e-4,5.224824219767e-4,0.163411458
input_only,0a53f8c62d9147be,3,1.0,2.236045522382e-5,4.696626287792e-4,4.873785100813e-4,0.322487745,4.537121767569e-4,5.187578112261e-4,0.223958333
input_only,4f86d203b1a975ce,3,1.0,3.024762236212e-5,5.327377082543e-4,5.202195393484e-4,0.305277766,5.560001270245e-4,6.108875108954e-4,0.145833333
input_only,6e1903d4a7c285bf,3,1.0,4.103523931042e-5,6.040618851385e-4,6.053125813379e-4,0.326072304,4.869647397783e-4,5.327318749030e-4,0.145833333
input_only,9d047ac26e31b58f,3,1.0,1.672068747232e-5,4.116814798910e-4,4.219462313251e-4,0.315393397,4.316521167524e-4,4.910444208453e-4,0.213541667
input_only,b27c5e0983d164af,3,1.0,4.565005515485e-5,6.471474579961e-4,6.421473489226e-4,0.289227416,8.062687404996e-4,8.999282700017e-4,0.161458333
input_only,d5a841f07c3692eb,3,1.0,2.384065016322e-5,4.860455569387e-4,4.904572545402e-4,0.309666419,4.639889778453e-4,5.725112485635e-4,0.187500000
state_stats,0a53f8c62d9147be,3,1.0,2.168983680827e-5,4.615449060026e-4,4.661251893401e-4,0.320710784,4.276352260793e-4,4.837019373127e-4,0.208333333
state_stats,4f86d203b1a975ce,3,1.0,2.887218878009e-5,5.188977249632e-4,5.086458130575e-4,0.304449653,6.165220990321e-4,7.089107120848e-4,0.234375000
state_stats,6e1903d4a7c285bf,3,1.0,3.866386886860e-5,5.833486253857e-4,5.977140312137e-4,0.323008578,4.930542104139e-4,5.420438380762e-4,0.151041667
state_stats,9d047ac26e31b58f,3,1.0,1.624764861192e-5,4.056045160447e-4,4.159482796068e-4,0.319665106,4.814344663752e-4,5.439949587872e-4,0.244791667
state_stats,b27c5e0983d164af,3,1.0,4.390039512083e-5,6.326808684132e-4,6.352044226307e-4,0.294557372,7.975826529218e-4,8.785313109646e-4,0.114583333
state_stats,d5a841f07c3692eb,3,1.0,2.272652037864e-5,4.735689338850e-4,4.648294338285e-4,0.288602941,3.848154974584e-4,4.482751126981e-4,0.130208333
development_response_oracle,0a53f8c62d9147be,3,2.0,7.049689688634e-5,8.193682078361e-4,8.170973516881e-4,0.302420343,7.906669152173e-4,9.586739203182e-4,0.270833333
development_response_oracle,4f86d203b1a975ce,3,2.0,9.807565678359e-5,9.391263256309e-4,9.617450039999e-4,0.295512095,1.071940202602e-3,1.309988313987e-3,0.234375000
development_response_oracle,6e1903d4a7c285bf,3,2.0,1.315166997999e-4,1.060870777529e-3,1.083040529694e-3,0.317493873,8.246375237680e-4,1.048699260044e-3,0.255208333
development_response_oracle,9d047ac26e31b58f,3,2.0,5.430133602134e-5,7.300821543307e-4,7.168004611127e-4,0.298794570,6.747573668354e-4,7.832482326270e-4,0.208333333
development_response_oracle,b27c5e0983d164af,3,2.0,1.459085669611e-4,1.135617951479e-3,1.151837327058e-3,0.275338894,1.477147011428e-3,1.753861965227e-3,0.151041667
development_response_oracle,d5a841f07c3692eb,3,2.0,7.773592023370e-5,8.653121318071e-4,8.699943373187e-4,0.302236520,6.884118007141e-4,1.034889770096e-3,0.229166667
evaluation_state_response_comparator,0a53f8c62d9147be,3,2.0,6.860498078800e-5,8.073406739226e-4,8.023357108937e-4,0.305667892,7.712634006793e-4,1.001141124372e-3,0.302083333
evaluation_state_response_comparator,4f86d203b1a975ce,3,2.0,9.129946542343e-5,9.078873885425e-4,9.227014803291e-4,0.282665659,9.569312373211e-4,1.188294925337e-3,0.192708333
evaluation_state_response_comparator,6e1903d4a7c285bf,3,2.0,1.243258051229e-4,1.024889386116e-3,1.044548342796e-3,0.309742647,8.236263576957e-4,9.962845452947e-4,0.203125000
evaluation_state_response_comparator,9d047ac26e31b58f,3,2.0,5.115681605386e-5,7.044305108608e-4,7.038838570664e-4,0.298440418,7.133356053449e-4,8.645924008815e-4,0.250000000
evaluation_state_response_comparator,b27c5e0983d164af,3,2.0,1.374467481123e-4,1.098578106515e-3,1.076382363435e-3,0.265751026,1.237125152026e-3,1.511294570567e-3,0.151041667
evaluation_state_response_comparator,d5a841f07c3692eb,3,2.0,7.315584618949e-5,8.368470152272e-4,8.439885460574e-4,0.289743449,6.437476667240e-4,9.217881589241e-4,0.192708333
gradient_full171,0a53f8c62d9147be,3,2.0,6.939560248211e-5,8.108379656160e-4,8.046896344678e-4,0.297947304,8.276433883339e-4,1.075743211345e-3,0.296875000
gradient_full171,4f86d203b1a975ce,3,2.0,9.604350453315e-5,9.268735236959e-4,9.359788404550e-4,0.287051318,1.074723515785e-3,1.231876172099e-3,0.208333333
gradient_full171,6e1903d4a7c285bf,3,2.0,1.240773217827e-4,1.024648865693e-3,1.013156883262e-3,0.304656863,8.188836234524e-4,1.008112512068e-3,0.197916667
gradient_full171,9d047ac26e31b58f,3,2.0,5.240916757982e-5,7.131222281978e-4,7.204717590402e-4,0.301512532,6.750024223265e-4,7.727783575623e-4,0.218750000
gradient_full171,b27c5e0983d164af,3,2.0,1.386507802668e-4,1.102494257647e-3,1.105548129475e-3,0.262972588,1.450333801813e-3,1.710149469962e-3,0.135416667
gradient_full171,d5a841f07c3692eb,3,2.0,7.432705260556e-5,8.456697093351e-4,8.406152348040e-4,0.291385096,6.979672976340e-4,9.529207945889e-4,0.229166667
hash_placebo_mean,0a53f8c62d9147be,3,2.0,9.050803448416e-5,9.472485505470e-4,9.513559163044e-4,0.325390625,8.673918365645e-4,1.067673835128e-3,0.293619792
hash_placebo_mean,4f86d203b1a975ce,3,2.0,1.202371800319e-4,1.065761323622e-3,1.064943799053e-3,0.305073706,1.106733446197e-3,1.317123946607e-3,0.223958333
hash_placebo_mean,6e1903d4a7c285bf,3,2.0,1.585447424655e-4,1.195064745833e-3,1.191986874572e-3,0.331782322,9.081637733791e-4,1.148252690273e-3,0.287109375
hash_placebo_mean,9d047ac26e31b58f,3,2.0,6.690666284224e-5,8.258399466075e-4,8.261449902348e-4,0.310886894,7.693908740336e-4,9.378397931072e-4,0.272786458
hash_placebo_mean,b27c5e0983d164af,3,2.0,1.732346551477e-4,1.266454487006e-3,1.264783681897e-3,0.295566336,1.574001294131e-3,1.890386576314e-3,0.171223958
hash_placebo_mean,d5a841f07c3692eb,3,2.0,9.440430988912e-5,9.700889151709e-4,9.627997856860e-4,0.307769781,7.757713402434e-4,1.047679244723e-3,0.239583333
input_only,0a53f8c62d9147be,3,2.0,8.969493847484e-5,9.404083320761e-4,9.763150373943e-4,0.322273284,8.914373972289e-4,1.087090578778e-3,0.286458333
input_only,4f86d203b1a975ce,3,2.0,1.215634588919e-4,1.067659541939e-3,1.042208877326e-3,0.308401315,1.103057774344e-3,1.273840870733e-3,0.192708333
input_only,6e1903d4a7c285bf,3,2.0,1.641777091943e-4,1.208132968567e-3,1.210588148662e-3,0.328921569,8.749833689687e-4,1.135055448022e-3,0.302083333
input_only,9d047ac26e31b58f,3,2.0,6.735333493696e-5,8.259172263965e-4,8.467877327727e-4,0.309892551,7.365558896382e-4,8.944415456729e-4,0.239583333
input_only,b27c5e0983d164af,3,2.0,1.820205305215e-4,1.292098584993e-3,1.282930285615e-3,0.290489142,1.598086195069e-3,1.947517284824e-3,0.192708333
input_only,d5a841f07c3692eb,3,2.0,9.554350820640e-5,9.729855392769e-4,9.825713110901e-4,0.313175114,8.027016283071e-4,1.161179515520e-3,0.302083333
state_stats,0a53f8c62d9147be,3,2.0,8.702367360340e-5,9.242456783240e-4,9.332746748157e-4,0.316482843,8.290104474232e-4,1.013221279455e-3,0.270833333
state_stats,4f86d203b1a975ce,3,2.0,1.161570818715e-4,1.040418700365e-3,1.019070627935e-3,0.308154223,1.171871836808e-3,1.443541702822e-3,0.270833333
state_stats,6e1903d4a7c285bf,3,2.0,1.546984170516e-4,1.166816656867e-3,1.195647813547e-3,0.326348039,8.550064102527e-4,1.053372781939e-3,0.229166667
state_stats,9d047ac26e31b58f,3,2.0,6.539523955140e-5,8.134112486849e-4,8.346801819851e-4,0.316186318,8.234599715067e-4,1.022394005076e-3,0.312500000
state_stats,b27c5e0983d164af,3,2.0,1.747861782584e-4,1.262313467074e-3,1.266841314378e-3,0.292816675,1.499097377139e-3,1.763985617013e-3,0.151041667
state_stats,d5a841f07c3692eb,3,2.0,9.105496254052e-5,9.479161478049e-4,9.303559347451e-4,0.294502801,6.866695044891e-4,9.003552186565e-4,0.187500000
