seed,step,scale,method,panel,candidate_count,utility_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization
9d047ac26e31b58f,600,0.5,hash_placebo_02,23,170,1.420592363852e-4,0.194117647,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,24,170,1.526449502307e-4,0.323529412,2.463509736117e-4,2.463509736117e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,25,170,9.551854625824e-5,0.223529412,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,26,170,2.214490016697e-4,0.370588235,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,27,170,1.822170218713e-4,0.276470588,4.845522535106e-4,4.845522535106e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,28,170,1.552413625212e-4,0.235294118,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,29,170,1.666680783799e-4,0.264705882,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,30,170,2.711280322282e-4,0.358823529,4.928435082547e-4,7.045616948744e-4,true
9d047ac26e31b58f,600,0.5,hash_placebo_02,31,170,1.530114766220e-4,0.270588235,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,32,170,1.340945931261e-4,0.229411765,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,33,170,1.409854906044e-4,0.300000000,3.424442256801e-4,3.424442256801e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,34,170,1.392283256330e-4,0.217647059,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,35,170,1.492669543511e-4,0.258823529,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,36,170,1.135071168783e-4,0.294117647,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,37,170,1.580345809361e-4,0.300000000,2.463509736117e-4,2.463509736117e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,38,170,1.471487158718e-4,0.311764706,4.676493699662e-4,5.145985833224e-4,true
9d047ac26e31b58f,600,0.5,hash_placebo_02,39,170,1.576753551353e-4,0.352941176,3.438318963163e-4,3.438318963163e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,40,170,1.862124216950e-4,0.264705882,3.424442256801e-4,3.424442256801e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,41,170,1.542494356979e-4,0.282352941,3.424442256801e-4,3.424442256801e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,42,170,1.776137510514e-4,0.300000000,2.463509736117e-4,2.463509736117e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,43,170,1.273028101614e-4,0.341176471,4.870562697761e-4,4.870562697761e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,44,170,1.508345685260e-4,0.276470588,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,45,170,1.332938780607e-4,0.294117647,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,46,170,1.250205549118e-4,0.235294118,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,47,170,1.897156963834e-4,0.329411765,4.845522535106e-4,4.845522535106e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,48,170,1.908754519100e-4,0.270588235,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,49,170,1.874634484726e-4,0.341176471,3.438318963163e-4,3.438318963163e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,50,170,1.681716781588e-4,0.335294118,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,51,170,1.529600841959e-4,0.294117647,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,52,170,1.657880800470e-4,0.276470588,2.386868291069e-4,2.386868291069e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,53,170,1.308318354135e-4,0.264705882,3.003304445883e-4,3.003304445883e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,54,170,1.650423615953e-4,0.417647059,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,55,170,2.581697094724e-4,0.352941176,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,56,170,1.173719913064e-4,0.235294118,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,57,170,1.430692365686e-4,0.317647059,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,58,170,1.136373662563e-4,0.211764706,1.747633214109e-4,2.042918349616e-4,false
