cell_id,arm,stage,action_id,operational_utility,final_utility
0,training_full96,0,133,7.975101470947e-5,7.224082946777e-5
0,training_full96,0,134,1.519918441772e-4,2.515316009521e-5
0,training_full96,0,135,9.250640869141e-5,-1.649856567383e-4
0,training_full96,0,136,-4.959106445312e-5,-1.218318939209e-4
0,training_full96,0,137,-7.426738739014e-5,-2.106428146362e-4
0,training_full96,0,138,6.139278411865e-5,2.264976501465e-5
0,training_full96,0,139,2.753734588623e-5,1.096725463867e-5
0,training_full96,0,140,2.058744430542e-4,1.085996627808e-4
0,training_full96,0,141,1.798868179321e-4,1.423358917236e-4
0,training_full96,0,142,5.352497100830e-5,5.936622619629e-5
0,training_full96,0,143,7.998943328857e-5,8.678436279297e-5
0,training_full96,0,144,1.015663146973e-4,1.157522201538e-4
0,training_full96,0,145,4.136562347412e-5,1.208782196045e-4
0,training_full96,0,146,1.658201217651e-4,-9.906291961670e-5
0,training_full96,0,147,7.092952728271e-5,-3.695487976074e-5
0,training_full96,0,148,-2.026557922363e-6,-5.722045898438e-6
0,training_full96,0,149,-1.668930053711e-6,-2.503395080566e-6
0,training_full96,0,150,2.397298812866e-4,3.563165664673e-4
0,training_full96,0,151,1.200437545776e-4,1.769065856934e-4
0,training_full96,0,152,2.849102020264e-5,-3.492832183838e-5
0,training_full96,0,153,1.466274261475e-5,-1.716613769531e-5
0,training_full96,0,154,1.085996627808e-4,1.107454299927e-4
0,training_full96,0,155,5.340576171875e-5,5.447864532471e-5
0,training_full96,0,156,3.080368041992e-4,2.315044403076e-4
0,training_full96,0,157,1.541376113892e-4,1.139640808105e-4
0,training_full96,0,158,1.657009124756e-5,3.743171691895e-5
0,training_full96,0,159,3.826618194580e-5,8.487701416016e-5
0,training_full96,0,160,3.945827484131e-5,3.468990325928e-5
0,training_full96,0,161,7.903575897217e-5,8.368492126465e-5
0,training_full96,0,162,1.430511474609e-5,-5.912780761719e-5
0,training_full96,0,163,4.339218139648e-5,-1.094341278076e-4
0,training_full96,0,164,-3.576278686523e-6,-1.454353332520e-5
0,training_full96,0,165,-1.192092895508e-7,-7.390975952148e-6
0,training_full96,0,166,3.349781036377e-5,2.908706665039e-5
0,training_full96,0,167,1.823902130127e-5,1.764297485352e-5
0,training_full96,0,168,5.245208740234e-6,-1.013278961182e-5
0,training_full96,0,169,2.741813659668e-6,-5.483627319336e-6
0,training_full96,600,0,9.202957153320e-5,1.026391983032e-4
0,training_full96,600,1,4.613399505615e-5,5.137920379639e-5
0,training_full96,600,2,1.858472824097e-4,-1.867651939392e-3
0,training_full96,600,3,1.055002212524e-4,-9.883642196655e-4
0,training_full96,600,4,1.703500747681e-4,-4.316687583923e-3
0,training_full96,600,5,1.098513603210e-4,-2.086877822876e-3
0,training_full96,600,6,2.264976501465e-6,4.888772964478e-4
0,training_full96,600,7,2.145767211914e-6,2.789497375488e-4
0,training_full96,600,8,2.259016036987e-5,2.688169479370e-4
0,training_full96,600,9,4.839897155762e-5,1.145601272583e-4
0,training_full96,600,10,-2.546310424805e-4,-2.269864082336e-3
0,training_full96,600,11,-1.095533370972e-4,-1.135587692261e-3
0,training_full96,600,12,-1.647472381592e-4,-7.749795913696e-4
0,training_full96,600,13,-7.605552673340e-5,-3.393888473511e-4
0,training_full96,600,14,-4.072189331055e-4,2.468824386597e-4
0,training_full96,600,15,-1.814961433411e-4,1.378059387207e-4
0,training_full96,600,16,-5.507469177246e-5,-5.844831466675e-4
0,training_full96,600,17,-2.747774124146e-5,-2.938508987427e-4
0,training_full96,600,18,1.267194747925e-4,9.157657623291e-4
0,training_full96,600,19,6.067752838135e-5,3.272294998169e-4
0,training_full96,600,20,-3.378987312317e-4,5.003213882446e-4
0,training_full96,600,21,-1.789331436157e-4,2.464056015015e-4
0,training_full96,600,22,-8.946657180786e-5,7.364749908447e-4
0,training_full96,600,23,-4.225969314575e-5,3.694295883179e-4
0,training_full96,600,24,3.576278686523e-6,6.442070007324e-4
0,training_full96,600,25,2.098083496094e-5,4.044771194458e-4
0,training_full96,600,26,-4.309415817261e-4,3.587007522583e-4
0,training_full96,600,27,-2.527832984924e-4,-1.214742660522e-4
0,training_full96,600,28,-2.180337905884e-4,3.107786178589e-4
0,training_full96,600,29,-7.545948028564e-5,-1.393556594849e-4
0,training_full96,600,30,-8.969306945801e-4,1.165628433228e-3
0,training_full96,600,31,-1.012384891510e-3,8.569955825806e-4
0,training_full96,600,32,-1.130104064941e-4,2.447366714478e-4
0,training_full96,600,33,-6.616115570068e-5,1.379251480103e-4
0,training_full96,600,34,-1.109838485718e-4,-4.774332046509e-4
0,training_full96,600,35,-2.872943878174e-5,-2.070665359497e-4
0,training_full96,600,36,-3.755092620850e-5,4.959106445312e-5
0,training_full96,600,37,-1.552700996399e-4,9.453296661377e-5
0,training_full96,600,38,1.124143600464e-4,-2.509355545044e-4
0,training_full96,600,39,6.264448165894e-5,-1.207590103149e-4
0,training_full96,600,40,1.157522201538e-4,3.061890602112e-3
0,training_full96,600,41,1.536607742310e-4,1.571416854858e-3
0,training_full96,600,42,1.132488250732e-5,-3.341436386108e-4
0,training_full96,600,43,5.668401718140e-5,-2.182722091675e-4
0,training_full96,600,44,1.057386398315e-4,1.549720764160e-6
0,training_full96,600,45,5.620718002319e-5,-2.145767211914e-6
0,training_full96,600,46,1.672506332397e-4,-8.494853973389e-4
0,training_full96,600,47,2.253055572510e-5,-1.096725463867e-3
0,training_full96,600,48,5.096197128296e-5,1.760721206665e-4
0,training_full96,600,49,5.215406417847e-5,1.416206359863e-4
0,training_full96,600,50,1.466274261475e-4,-2.706050872803e-4
0,training_full96,600,51,7.820129394531e-5,-1.327991485596e-4
0,training_full96,600,52,-3.504753112793e-5,-1.319646835327e-4
0,training_full96,600,53,-1.692771911621e-5,-9.000301361084e-5
0,training_full96,600,54,1.403689384460e-4,1.380801200867e-3
0,training_full96,600,55,7.051229476929e-5,6.872415542603e-4
0,training_full96,600,56,-1.180171966553e-5,4.229545593262e-4
0,training_full96,600,57,-4.589557647705e-6,2.117156982422e-4
0,training_full96,600,58,-1.931190490723e-5,2.385377883911e-4
0,training_full96,600,59,-4.708766937256e-5,4.813671112061e-4
0,training_full96,600,60,-2.646446228027e-5,-1.219987869263e-3
0,training_full96,600,61,-1.204609870911e-4,-2.541422843933e-3
0,training_full96,600,62,-9.059906005859e-5,-9.506940841675e-4
0,training_full96,600,63,-2.465844154358e-4,-1.656889915466e-3
0,training_full96,600,64,1.398324966431e-4,4.140496253967e-3
0,training_full96,600,65,9.196996688843e-5,2.092242240906e-3
0,training_full96,600,66,-2.277493476868e-4,4.414319992065e-4
0,training_full96,600,67,-7.843971252441e-5,2.108812332153e-4
0,training_full96,600,68,4.756450653076e-5,-1.437306404114e-3
0,training_full96,600,69,-5.459785461426e-5,-3.525614738464e-3
0,training_full96,600,70,1.343488693237e-4,1.155614852905e-3
0,training_full96,600,71,2.774000167847e-4,2.187848091125e-3
0,training_full96,600,72,-2.205371856689e-4,-2.191424369812e-3
0,training_full96,600,73,-6.222724914551e-5,-1.168251037598e-3
0,training_full96,600,74,-6.353855133057e-5,6.240606307983e-4
0,training_full96,600,75,-2.930760383606e-4,1.070857048035e-3
0,training_full96,600,76,2.372264862061e-5,-6.854534149170e-5
0,training_full96,600,77,-2.801418304443e-5,-5.114078521729e-5
0,training_full96,600,78,2.902746200562e-5,-4.994869232178e-5
0,training_full96,600,79,-1.490116119385e-5,-2.621412277222e-4
0,training_full96,600,80,4.589557647705e-5,5.590915679932e-5
0,training_full96,600,81,1.043081283569e-5,2.264976501465e-5
0,training_full96,600,82,5.960464477539e-5,1.275539398193e-5
0,training_full96,600,83,9.489059448242e-5,3.874301910400e-5
0,training_full96,600,84,1.621246337891e-5,8.344650268555e-6
0,training_full96,600,85,3.123283386230e-5,1.871585845947e-5
0,training_full96,600,86,1.281499862671e-5,1.966953277588e-5
0,training_full96,600,87,1.180171966553e-5,3.826618194580e-5
0,training_full96,600,88,4.529953002930e-6,9.179115295410e-6
0,training_full96,600,89,2.419948577881e-5,1.275539398193e-5
0,training_full96,600,90,-9.179115295410e-6,2.562999725342e-5
0,training_full96,600,91,-3.635883331299e-6,7.152557373047e-6
0,training_full96,600,92,-3.324747085571e-4,2.371191978455e-3
