cell_id,arm,step,train_loss,parameter_offset,parameter_count
14,sentinel_fixed128,0,1.085538744926e0,117648,171
14,sentinel_fixed128,600,9.729232192039e-1,118332,171
14,sentinel_fixed128,2400,1.595768570900e0,119016,171
14,sentinel_fixed128,4200,2.993041992188e0,119700,171
14,sentinel_rotating128,0,1.085538744926e0,120384,171
14,sentinel_rotating128,600,9.389771819115e-1,121068,171
14,sentinel_rotating128,2400,7.333490848541e-1,121752,171
14,sentinel_rotating128,4200,6.509513854980e-1,122436,171
15,training_full96,0,1.101016998291e0,123120,171
15,training_full96,600,6.529247164726e-1,123804,171
15,training_full96,2400,1.708452589810e-2,124488,171
15,training_full96,4200,9.537041187286e-4,125172,171
15,sentinel_fixed128,0,1.101016998291e0,125856,171
15,sentinel_fixed128,600,9.291446805000e-1,126540,171
15,sentinel_fixed128,2400,1.306853890419e0,127224,171
15,sentinel_fixed128,4200,1.927015304565e0,127908,171
15,sentinel_rotating128,0,1.101016998291e0,128592,171
15,sentinel_rotating128,600,9.269969463348e-1,129276,171
15,sentinel_rotating128,2400,6.750716567039e-1,129960,171
15,sentinel_rotating128,4200,5.914990305901e-1,130644,171
16,training_full96,0,1.120658755302e0,131328,171
16,training_full96,600,7.293112277985e-1,132012,171
16,training_full96,2400,9.075065702200e-2,132696,171
16,training_full96,4200,4.178859293461e-3,133380,171
16,sentinel_fixed128,0,1.120658755302e0,134064,171
16,sentinel_fixed128,600,9.819495677948e-1,134748,171
16,sentinel_fixed128,2400,1.495282053947e0,135432,171
16,sentinel_fixed128,4200,2.726039886475e0,136116,171
16,sentinel_rotating128,0,1.120658755302e0,136800,171
16,sentinel_rotating128,600,9.493877291679e-1,137484,171
16,sentinel_rotating128,2400,8.552443385124e-1,138168,171
16,sentinel_rotating128,4200,7.165548205376e-1,138852,171
17,training_full96,0,1.082196831703e0,139536,171
17,training_full96,600,6.080703139305e-1,140220,171
17,training_full96,2400,4.189116880298e-2,140904,171
17,training_full96,4200,5.365016404539e-3,141588,171
17,sentinel_fixed128,0,1.082196831703e0,142272,171
17,sentinel_fixed128,600,1.180166602135e0,142956,171
17,sentinel_fixed128,2400,2.026561975479e0,143640,171
17,sentinel_fixed128,4200,2.939179182053e0,144324,171
17,sentinel_rotating128,0,1.082196831703e0,145008,171
17,sentinel_rotating128,600,9.714075922966e-1,145692,171
