dataset_index,initialization_index,stream_seed,state_step,parameter_fingerprint,train_loss,evaluation_candidate_count,r2_checkpoint
1,2,a303ea000000000b,2450,fa818911ffa32296,0.662839234,170,false
1,2,a303ea000000000b,2500,cf030fccb821b146,0.664323747,170,false
1,2,a303ea000000000b,4200,94d95c4edcc45537,0.536074579,170,true
1,2,a303ea000000000c,600,9ad692ad2d7d77e9,0.939549446,170,true
1,2,a303ea000000000c,625,9e9a3f9720db9bfd,0.930841208,170,false
1,2,a303ea000000000c,650,ba3e0d3e9a8f42d4,0.921255887,170,false
1,2,a303ea000000000c,700,316906504de8a205,0.898848116,170,false
1,2,a303ea000000000c,2400,74a436b2882b0b97,0.552028954,170,true
1,2,a303ea000000000c,2425,3d03433b3bdb747d,0.544980407,170,false
1,2,a303ea000000000c,2450,75b5fd316387631f,0.541023791,170,false
1,2,a303ea000000000c,2500,e57febb22b157afe,0.533050716,170,false
1,2,a303ea000000000c,4200,251016b77cd4c8af,0.396415144,168,true
2,0,a303ea000000000d,600,7071f7b43e7db9dc,0.885994256,170,true
2,0,a303ea000000000d,625,9726e719c5dec870,0.877856195,170,false
2,0,a303ea000000000d,650,5c51c824c9b52e2c,0.873307228,170,false
2,0,a303ea000000000d,700,d505abcde6d1e632,0.865966856,170,false
2,0,a303ea000000000d,2400,05b0169eb08f2d03,0.478057146,170,true
2,0,a303ea000000000d,2425,c7505e2bf8799f8b,0.473915964,170,false
2,0,a303ea000000000d,2450,3efac61c761f1856,0.466383189,170,false
2,0,a303ea000000000d,2500,b3d5a696629c200a,0.455833763,170,false
2,0,a303ea000000000d,4200,4e723101424d98d9,0.215524793,168,true
2,0,a303ea000000000e,600,d493b7d10e2a3a19,0.895274818,170,true
2,0,a303ea000000000e,625,4e70470b08608502,0.886451781,170,false
2,0,a303ea000000000e,650,cbd7410c1e98a8d1,0.884183824,170,false
2,0,a303ea000000000e,700,61a6c58b2929eccc,0.876996219,170,false
2,0,a303ea000000000e,2400,17e80db7242d28e5,0.524562120,170,true
2,0,a303ea000000000e,2425,ed7ad8678ee5c7e5,0.521861851,170,false
2,0,a303ea000000000e,2450,1fedd0c377a2b4c8,0.510620356,170,false
2,0,a303ea000000000e,2500,131a5d1254b018c7,0.498519689,170,false
2,0,a303ea000000000e,4200,19ecc709c1162453,0.276737571,170,true
2,1,a303ea000000000f,600,7597e9f9c86291af,0.919912636,170,true
2,1,a303ea000000000f,625,6ddd1c6ccf1f1f6b,0.911288440,170,false
2,1,a303ea000000000f,650,62c4b620a49ebbf0,0.908586800,170,false
2,1,a303ea000000000f,700,238ecb96fc4942be,0.900867760,170,false
2,1,a303ea000000000f,2400,e25ac77401f7708c,0.620080054,170,true
2,1,a303ea000000000f,2425,099e09030b063453,0.611085713,170,false
2,1,a303ea000000000f,2450,d11498c53dfb4d85,0.604250729,170,false
2,1,a303ea000000000f,2500,b2bdca76e9d4c95c,0.601012290,170,false
2,1,a303ea000000000f,4200,00bbc5d0413bfaf0,0.423591465,170,true
2,1,a303ea0000000010,600,6bdbad99a61df002,0.942465842,170,true
2,1,a303ea0000000010,625,7c14f4021c6898ff,0.937251329,170,false
2,1,a303ea0000000010,650,04dba8f0d63e1ed8,0.935236514,170,false
2,1,a303ea0000000010,700,184b86842fdf6593,0.928908765,170,false
2,1,a303ea0000000010,2400,c91ccec4ce9f1d13,0.673136413,170,true
2,1,a303ea0000000010,2425,2deb685a2885b125,0.665295064,170,false
2,1,a303ea0000000010,2450,e1df6aa8260e3725,0.658245027,170,false
2,1,a303ea0000000010,2500,8b41153c35743282,0.647087693,170,false
2,1,a303ea0000000010,4200,376f2f004bd674f7,0.446456581,170,true
2,2,a303ea0000000011,600,c1a22fff3a5580ff,0.938756287,170,true
2,2,a303ea0000000011,625,3af1fcbdb283f211,0.931935310,170,false
2,2,a303ea0000000011,650,76366915e6d9db18,0.922478676,170,false
2,2,a303ea0000000011,700,ce51b178ee069c30,0.912628949,170,false
2,2,a303ea0000000011,2400,09a752408fd4a9d8,0.617533028,170,true
2,2,a303ea0000000011,2425,446f3f885b25ed32,0.617137849,170,false
2,2,a303ea0000000011,2450,497ef041b8b056d0,0.607391417,170,false
2,2,a303ea0000000011,2500,14d33460b6ec55ff,0.601079881,170,false
2,2,a303ea0000000011,4200,ec934b781a29712e,0.410594732,170,true
2,2,a303ea0000000012,600,f27c203b94082bf5,0.947563708,170,true
2,2,a303ea0000000012,625,e84f02af6838d28c,0.942573369,170,false
2,2,a303ea0000000012,650,4eb88c70203fa923,0.942376316,170,false
2,2,a303ea0000000012,700,66c9911e9d508bdf,0.931399822,170,false
2,2,a303ea0000000012,2400,c097b0ba4429ef1a,0.600049376,170,true
2,2,a303ea0000000012,2425,71f325a328c06cda,0.596259534,170,false
2,2,a303ea0000000012,2450,023c2c341909381e,0.594148278,170,false
2,2,a303ea0000000012,2500,144246f688c82837,0.584319890,170,false
2,2,a303ea0000000012,4200,d50634d6a92c14e1,0.302556783,168,true
