method,dataset_index,initialization_index,stream_seed,state_step,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,feature_acquisition_ns_per_example,partition_build_median_ns,partition_build_ns_per_example,measurement_repetitions
last_hidden_layer_72,1,0,a303ea0000000008,600,72,55296,13400,139.583,1683000,17531.250,3
rademacher_projection_32,1,0,a303ea0000000008,600,32,24576,180600,1881.250,2443700,25455.208,3
sign_gradient_171,1,0,a303ea0000000008,600,171,131328,19700,205.208,2324800,24216.667,3
full_gradient_171,1,0,a303ea0000000008,2400,171,131328,17500,182.292,4311600,44912.500,3
output_layer_27,1,0,a303ea0000000008,2400,27,20736,9600,100.000,3629600,37808.333,3
last_hidden_layer_72,1,0,a303ea0000000008,2400,72,55296,13800,143.750,6253900,65144.792,3
rademacher_projection_32,1,0,a303ea0000000008,2400,32,24576,178400,1858.333,2993300,31180.208,3
sign_gradient_171,1,0,a303ea0000000008,2400,171,131328,19700,205.208,2434000,25354.167,3
full_gradient_171,1,0,a303ea0000000008,4200,171,131328,17300,180.208,3968200,41335.417,3
output_layer_27,1,0,a303ea0000000008,4200,27,20736,9800,102.083,2432800,25341.667,3
last_hidden_layer_72,1,0,a303ea0000000008,4200,72,55296,15400,160.417,2899100,30198.958,3
rademacher_projection_32,1,0,a303ea0000000008,4200,32,24576,179500,1869.792,4560800,47508.333,3
sign_gradient_171,1,0,a303ea0000000008,4200,171,131328,19800,206.250,2576300,26836.458,3
full_gradient_171,1,1,a303ea0000000009,600,171,131328,17200,179.167,4407100,45907.292,3
output_layer_27,1,1,a303ea0000000009,600,27,20736,9700,101.042,1818800,18945.833,3
last_hidden_layer_72,1,1,a303ea0000000009,600,72,55296,13000,135.417,3191600,33245.833,3
rademacher_projection_32,1,1,a303ea0000000009,600,32,24576,196300,2044.792,2559500,26661.458,3
sign_gradient_171,1,1,a303ea0000000009,600,171,131328,25000,260.417,2673600,27850.000,3
full_gradient_171,1,1,a303ea0000000009,2400,171,131328,19100,198.958,4997100,52053.125,3
output_layer_27,1,1,a303ea0000000009,2400,27,20736,9700,101.042,3183800,33164.583,3
