aggregation_level,dataset_index,initialization_index,phase,state_step,anchor_step,offset_from_anchor,partition_age,method,evidence_examples,n_aggregation_units,within_stratum_utility_variance,predicted_rmse,observed_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_02,96,2,1.438113796547e-5,0.000000000000e0,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_02,96,2,1.011835691612e-5,0.000000000000e0,,,,,
cell,2,2,freshness_fresh,600,600,0,0,hash_placebo_02,96,2,8.673469254560e-6,0.000000000000e0,,,,,
cell,0,0,freshness_fresh,600,600,0,0,hash_placebo_03,12,2,1.898884066382e-5,1.176523452364e-3,,,,,
cell,0,1,freshness_fresh,600,600,0,0,hash_placebo_03,12,2,1.358488515625e-5,9.947591961171e-4,,,,,
cell,0,2,freshness_fresh,600,600,0,0,hash_placebo_03,12,2,8.226763400676e-6,7.744939054327e-4,,,,,
cell,1,0,freshness_fresh,600,600,0,0,hash_placebo_03,12,2,1.252463907986e-5,9.550561445687e-4,,,,,
cell,1,1,freshness_fresh,600,600,0,0,hash_placebo_03,12,2,1.125139547304e-5,9.055760323005e-4,,,,,
cell,1,2,freshness_fresh,600,600,0,0,hash_placebo_03,12,2,9.860795642355e-6,8.448581802474e-4,,,,,
cell,2,0,freshness_fresh,600,600,0,0,hash_placebo_03,12,2,1.414460520361e-5,1.013738614338e-3,,,,,
cell,2,1,freshness_fresh,600,600,0,0,hash_placebo_03,12,2,1.001243003579e-5,8.527607859990e-4,,,,,
