dataset_index,initialization_index,stream_seed,state_step,phase,anchor_step,offset_from_anchor,partition_age,method,candidate_count,within_stratum_utility_variance,predicted_rmse_v48,observed_panel_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48
0,0,a303ea0000000001,625,freshness_stale,600,25,25,hash_placebo_02,170,1.854108840757e-5,4.394727950384e-4,4.374811023812e-4,0.304963235,4.213432762299e-4,4.748061314785e-4,0.109375000
0,0,a303ea0000000001,625,freshness_stale,600,25,25,hash_placebo_00,170,1.877037590427e-5,4.421818053729e-4,4.442363594659e-4,0.306158088,4.188044797502e-4,4.557338545510e-4,0.093750000
0,0,a303ea0000000001,625,freshness_stale,600,25,25,hash_placebo_01,170,1.850256588781e-5,4.390160148916e-4,4.498400882865e-4,0.307720588,4.244053168350e-4,4.552715593036e-4,0.062500000
0,0,a303ea0000000001,625,freshness_stale,600,25,25,last_hidden_layer_72,170,1.244441385430e-5,3.600407073961e-4,3.759835406440e-4,0.262132353,4.826695660540e-4,5.220433320119e-4,0.140625000
0,0,a303ea0000000001,625,freshness_stale,600,25,25,hash_placebo_06,170,1.849155207560e-5,4.388853314031e-4,4.339070567325e-4,0.297518382,4.440259178864e-4,4.799946630101e-4,0.062500000
0,0,a303ea0000000001,625,freshness_stale,600,25,25,full_gradient_171,170,1.164841706665e-5,3.483355821296e-4,3.454351135753e-4,0.264338235,3.406239645756e-4,3.642877456969e-4,0.031250000
0,0,a303ea0000000001,625,freshness_stale,600,25,25,output_layer_27,170,1.151784789785e-5,3.463778027952e-4,3.524270640055e-4,0.257169118,4.759914088481e-4,5.380663089909e-4,0.125000000
0,0,a303ea0000000001,625,freshness_stale,600,25,25,rademacher_projection_32,170,1.215697410631e-5,3.558583242538e-4,3.497682396131e-4,0.277665441,3.784210121012e-4,4.311192224122e-4,0.062500000
0,0,a303ea0000000001,625,freshness_stale,600,25,25,hash_placebo_mean,170,1.839365610609e-5,4.377134542746e-4,4.380724838929e-4,0.306054688,4.383767489173e-4,4.788453030926e-4,0.078125000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,hash_placebo_00,170,2.164370057774e-5,4.748212446295e-4,4.778124055520e-4,0.319940476,4.278866269232e-4,4.871758346212e-4,0.140625000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,hash_placebo_01,170,2.118352598453e-5,4.697464518286e-4,4.593579468090e-4,0.303292411,4.428259820202e-4,4.742849718204e-4,0.093750000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,hash_placebo_02,170,2.135894301498e-5,4.716873856055e-4,4.776850307673e-4,0.320684524,4.721102659460e-4,5.204322187069e-4,0.125000000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,hash_placebo_03,170,2.125579615366e-5,4.705470680679e-4,4.829256615068e-4,0.312779018,4.079868833458e-4,4.520765567690e-4,0.109375000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,hash_placebo_04,170,2.094292527998e-5,4.670711633857e-4,4.617768388707e-4,0.307477679,4.094045194734e-4,4.292327841995e-4,0.078125000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,hash_placebo_05,170,2.154472789729e-5,4.737343653675e-4,4.524654021796e-4,0.310081845,4.477243192440e-4,4.924752699180e-4,0.125000000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,hash_placebo_06,170,2.142154235095e-5,4.723780966088e-4,4.652954854748e-4,0.309616815,4.498531099841e-4,4.961659576566e-4,0.140625000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,hash_placebo_07,170,2.084374185310e-5,4.659638515699e-4,4.634473943446e-4,0.312406994,4.528465085230e-4,5.116087810015e-4,0.156250000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,full_gradient_171,170,1.302917024069e-5,3.684026646762e-4,3.757410753466e-4,0.281063988,3.957359642897e-4,4.233103786078e-4,0.046875000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,output_layer_27,170,1.272693526868e-5,3.641047134852e-4,3.675709720189e-4,0.265625000,4.179842893848e-4,4.709171321338e-4,0.125000000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,last_hidden_layer_72,170,1.296373629842e-5,3.674764207065e-4,3.695861402055e-4,0.282180060,3.892017965086e-4,4.490920359217e-4,0.140625000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,rademacher_projection_32,170,1.348400989993e-5,3.747778494757e-4,3.835388197908e-4,0.285528274,4.265400306736e-4,4.491547350653e-4,0.078125000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,sign_gradient_171,170,1.465488343502e-5,3.907109363474e-4,4.006465543996e-4,0.283203125,4.782629790157e-4,5.285872647960e-4,0.140625000
0,0,a303ea0000000001,650,freshness_fresh,600,50,0,hash_placebo_mean,170,2.127436288903e-5,4.707437033829e-4,4.675957706881e-4,0.312034970,4.388297769324e-4,4.829315468367e-4,0.121093750
0,0,a303ea0000000001,650,freshness_stale,600,50,50,sign_gradient_171,170,1.457808347403e-5,3.896858172783e-4,3.912706951802e-4,0.283296131,3.747799950560e-4,4.151386935405e-4,0.125000000
0,0,a303ea0000000001,650,freshness_stale,600,50,50,hash_placebo_03,170,2.125579615366e-5,4.705470680679e-4,4.829256615068e-4,0.312779018,4.079868833458e-4,4.520765567690e-4,0.109375000
0,0,a303ea0000000001,650,freshness_stale,600,50,50,hash_placebo_04,170,2.094292527998e-5,4.670711633857e-4,4.617768388707e-4,0.307477679,4.094045194734e-4,4.292327841995e-4,0.078125000
