arm,epoch,loss_before,loss_after,accuracy_after,selected,no_op,blocked,min_selected_magnitude,sign_reversals,both_sign_available,one_sign_available,no_legal_move
A0,107,0.23421943,0.23007593,1.00000000,10,7,0,0.02000000,3,17,0,0
A0,108,0.23007593,0.22741871,1.00000000,12,5,0,0.02000000,4,17,0,0
A0,109,0.22741871,0.22228482,1.00000000,11,6,0,0.02000000,5,17,0,0
A0,110,0.22228482,0.21879825,1.00000000,10,7,0,0.02000000,6,17,0,0
A0,111,0.21879825,0.21784855,1.00000000,13,4,0,0.02000000,7,17,0,0
A0,112,0.21784855,0.21090242,1.00000000,10,7,0,0.02000000,5,17,0,0
A0,113,0.21090242,0.20708439,1.00000000,10,7,0,0.02000000,3,17,0,0
A0,114,0.20708439,0.20515485,1.00000000,12,5,0,0.02000000,5,17,0,0
A0,115,0.20515485,0.20048854,1.00000000,10,7,1,0.02000000,6,16,1,0
A0,116,0.20048854,0.19739303,1.00000000,9,8,1,0.02000000,4,16,1,0
A0,117,0.19739303,0.19800504,1.00000000,12,5,1,0.02000000,5,16,1,0
A0,118,0.19800504,0.19273417,1.00000000,9,8,1,0.02000000,7,16,1,0
A0,119,0.19273417,0.18920116,1.00000000,9,8,1,0.02000000,5,16,1,0
A0,120,0.18920116,0.18845925,1.00000000,11,6,1,0.02000000,4,16,1,0
A0,121,0.18845925,0.18460298,1.00000000,10,7,1,0.02000000,6,16,1,0
A0,122,0.18460298,0.18215762,1.00000000,9,8,1,0.02000000,7,16,1,0
A0,123,0.18215762,0.18215649,1.00000000,12,5,1,0.02000000,7,16,1,0
A0,124,0.18215649,0.17659152,1.00000000,9,8,1,0.02000000,4,16,1,0
A0,125,0.17659152,0.17382424,1.00000000,9,8,1,0.02000000,3,16,1,0
A0,126,0.17382424,0.17438041,1.00000000,11,6,1,0.02000000,5,16,1,0
A0,127,0.17438041,0.16956638,1.00000000,10,7,1,0.02000000,8,16,1,0
A0,128,0.16956638,0.16662222,1.00000000,9,8,1,0.02000000,4,16,1,0
A0,129,0.16662222,0.16348378,1.00000000,11,6,1,0.02000000,4,16,1,0
A0,130,0.16348378,0.15937242,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,131,0.15937242,0.15713429,1.00000000,8,9,2,0.02000000,4,15,2,0
A0,132,0.15713429,0.15693717,1.00000000,10,7,2,0.02000000,4,15,2,0
A0,133,0.15693717,0.15426412,1.00000000,9,8,2,0.02000000,5,15,2,0
A0,134,0.15426412,0.15269010,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,135,0.15269010,0.15365320,1.00000000,11,6,2,0.02000000,7,15,2,0
A0,136,0.15365320,0.15084422,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,137,0.15084422,0.14784785,1.00000000,8,9,2,0.02000000,5,15,2,0
A0,138,0.14784785,0.14646764,1.00000000,10,7,2,0.02000000,4,15,2,0
A0,139,0.14646764,0.14338654,1.00000000,8,9,2,0.02000000,4,15,2,0
A0,140,0.14338654,0.14436610,1.00000000,9,8,2,0.02000000,4,15,2,0
A0,141,0.14436610,0.14133373,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,142,0.14133373,0.14188351,1.00000000,9,8,2,0.02000000,7,15,2,0
A0,143,0.14188351,0.13930064,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,144,0.13930064,0.13835111,1.00000000,10,7,2,0.02000000,6,15,2,0
A0,145,0.13835111,0.13540058,1.00000000,8,9,2,0.02000000,5,15,2,0
A0,146,0.13540058,0.13642359,1.00000000,9,8,2,0.02000000,5,15,2,0
A0,147,0.13642359,0.13348956,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,148,0.13348956,0.13408294,1.00000000,9,8,2,0.02000000,7,15,2,0
A0,149,0.13408294,0.13150561,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,150,0.13150561,0.13070017,1.00000000,10,7,2,0.02000000,6,15,2,0
A0,151,0.13070017,0.12785667,1.00000000,8,9,2,0.02000000,5,15,2,0
A0,152,0.12785667,0.12893698,1.00000000,9,8,2,0.02000000,5,15,2,0
A0,153,0.12893698,0.12607816,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,154,0.12607816,0.12672256,1.00000000,9,8,2,0.02000000,7,15,2,0
A0,155,0.12672256,0.12413947,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,156,0.12413947,0.12346842,1.00000000,10,7,2,0.02000000,6,15,2,0
A0,157,0.12346842,0.12074099,1.00000000,8,9,2,0.02000000,5,15,2,0
A0,158,0.12074099,0.11871027,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,159,0.11871027,0.12163287,1.00000000,11,6,2,0.02000000,7,15,2,0
A0,160,0.12163287,0.11705983,1.00000000,8,9,2,0.02000000,8,15,2,0
A0,161,0.11705983,0.11628547,1.00000000,8,9,2,0.02000000,5,15,2,0
A0,162,0.11628547,0.11677013,1.00000000,11,6,2,0.02000000,6,15,2,0
A0,163,0.11677013,0.11288112,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,164,0.11288112,0.11499190,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,165,0.11499190,0.11282016,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,166,0.11282016,0.11026075,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,167,0.11026075,0.11064765,1.00000000,8,9,2,0.02000000,5,15,2,0
A0,168,0.11064765,0.11026075,1.00000000,11,6,2,0.02000000,8,15,2,0
A0,169,0.11026075,0.10746717,1.00000000,8,9,2,0.02000000,8,15,2,0
A0,170,0.10746717,0.10919584,1.00000000,9,8,2,0.02000000,7,15,2,0
A0,171,0.10919584,0.10746717,1.00000000,10,7,2,0.02000000,8,15,2,0
A0,172,0.10746717,0.10474081,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,173,0.10474081,0.10427306,1.00000000,8,9,2,0.02000000,4,15,2,0
A0,174,0.10427306,0.10448804,1.00000000,11,6,2,0.02000000,5,15,2,0
A0,175,0.10448804,0.10120985,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,176,0.10120985,0.10302171,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,177,0.10302171,0.10126126,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,178,0.10126126,0.09873419,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,179,0.09873419,0.09824669,1.00000000,8,9,2,0.02000000,4,15,2,0
A0,180,0.09824669,0.09867176,1.00000000,11,6,2,0.02000000,5,15,2,0
A0,181,0.09867176,0.09537097,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,182,0.09537097,0.09723224,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,183,0.09723224,0.09541343,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,184,0.09541343,0.09309618,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,185,0.09309618,0.09346660,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,186,0.09346660,0.09309618,1.00000000,11,6,2,0.02000000,8,15,2,0
A0,187,0.09309618,0.09073707,1.00000000,8,9,2,0.02000000,8,15,2,0
A0,188,0.09073707,0.09226611,1.00000000,9,8,2,0.02000000,7,15,2,0
A0,189,0.09226611,0.09073707,1.00000000,10,7,2,0.02000000,8,15,2,0
A0,190,0.09073707,0.08847135,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,191,0.08847135,0.08803053,1.00000000,8,9,2,0.02000000,4,15,2,0
A0,192,0.08803053,0.08822002,1.00000000,11,6,2,0.02000000,5,15,2,0
A0,193,0.08822002,0.08537675,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,194,0.08537675,0.08699983,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,195,0.08699983,0.08538919,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,196,0.08538919,0.08333391,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,197,0.08333391,0.08286461,1.00000000,8,9,2,0.02000000,4,15,2,0
A0,198,0.08286461,0.08328374,1.00000000,11,6,2,0.02000000,5,15,2,0
A0,199,0.08328374,0.08037145,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,200,0.08037145,0.08208116,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,201,0.08208116,0.08036952,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,202,0.08036952,0.07853078,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,203,0.07853078,0.07877652,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,204,0.07877652,0.07853078,1.00000000,11,6,2,0.02000000,8,15,2,0
A0,205,0.07853078,0.07644888,1.00000000,8,9,2,0.02000000,8,15,2,0
A0,206,0.07644888,0.07789705,1.00000000,9,8,2,0.02000000,7,15,2,0
A0,207,0.07789705,0.07644887,1.00000000,10,7,2,0.02000000,8,15,2,0
A0,208,0.07644887,0.07464234,1.00000000,8,9,2,0.02000000,7,15,2,0
