state_id,cell_id,dataset_id,initialization_id,stage,action_id,block_id,left_parameter,right_parameter,left_layer,right_layer,left_rank,right_rank,left_delta,right_delta,u0_train,u0_heldout,taylor_train,taylor_heldout,output_taylor_train,output_taylor_heldout,projected_within_utility_variance
23,7,1,2,4200,59,30,125,65,hidden1-hidden2,hidden1-bias,1,0,0.010000000,-0.020000000,-1.540227482716e-4,-1.105169455210e-6,-4.159508883983e-5,1.221390479706e-4,,,1.775788225647e-5
23,7,1,2,4200,60,31,126,64,hidden1-hidden2,hidden1-bias,0,1,0.020000000,0.010000000,-3.782597680887e-4,-2.674125134945e-4,-3.317946179732e-4,-4.244214992122e-4,,,1.564923465145e-5
23,7,1,2,4200,61,31,126,64,hidden1-hidden2,hidden1-bias,1,0,0.010000000,0.020000000,-2.186931669712e-4,3.099138538043e-3,-1.408701279032e-4,2.767369340235e-3,,,8.274229788200e-6
23,7,1,2,4200,62,32,127,63,hidden1-hidden2,input-hidden1,0,1,0.020000000,-0.010000000,-2.195828904708e-4,-5.712017416954e-3,-1.492467889130e-4,-5.652039133163e-3,,,4.424966227623e-5
23,7,1,2,4200,63,32,127,63,hidden1-hidden2,input-hidden1,1,0,0.010000000,-0.020000000,-3.964751958847e-4,-8.537307381630e-3,-2.185770762505e-4,-8.339769384603e-3,,,9.795383913336e-5
23,7,1,2,4200,64,33,128,62,hidden1-hidden2,input-hidden1,0,1,-0.020000000,0.010000000,4.091672599316e-5,-1.104842871428e-3,6.847432817672e-5,-1.077855237464e-3,,,1.102788730881e-5
23,7,1,2,4200,65,33,128,62,hidden1-hidden2,input-hidden1,1,0,-0.010000000,0.020000000,-1.382951935132e-5,-1.860765119394e-3,1.069598143801e-4,-1.725200638358e-3,,,4.296612545316e-5
23,7,1,2,4200,66,34,129,61,hidden1-hidden2,input-hidden1,0,0,-0.020000000,0.020000000,-4.513816287120e-4,2.621440837781e-3,-1.838350637023e-4,2.750804159177e-3,,,6.646393493475e-5
23,7,1,2,4200,67,34,129,61,hidden1-hidden2,input-hidden1,1,1,-0.010000000,0.010000000,-1.902673393488e-4,1.343108092745e-3,-9.191753185117e-5,1.375402079588e-3,,,1.631768148852e-5
23,7,1,2,4200,68,35,130,60,hidden1-hidden2,input-hidden1,0,0,-0.020000000,0.000000000,-7.537504037221e-5,2.345126743118e-3,-7.365530819509e-5,2.321931107226e-3,,,4.929593541888e-7
23,7,1,2,4200,69,35,130,60,hidden1-hidden2,input-hidden1,1,1,-0.010000000,-0.005000000,2.730078995228e-5,1.894596964121e-3,3.792995627129e-5,1.884079099595e-3,,,1.729158537388e-6
23,7,1,2,4200,70,36,131,59,hidden1-hidden2,input-hidden1,0,1,-0.020000000,0.005000000,-3.592235346635e-5,-1.215085387230e-3,-2.976783793784e-5,-1.231169455984e-3,,,2.815640375108e-6
23,7,1,2,4200,71,36,131,59,hidden1-hidden2,input-hidden1,1,0,-0.010000000,0.000000000,8.147209882736e-6,6.462012728055e-5,8.588232961922e-6,5.778683923019e-5,,,2.294111814775e-7
23,7,1,2,4200,72,37,132,58,hidden1-hidden2,input-hidden1,0,1,-0.020000000,-0.010000000,-3.871135413647e-5,-1.569588979085e-4,-4.342255212323e-6,-1.679351509704e-4,,,8.402823435648e-6
23,7,1,2,4200,73,37,132,58,hidden1-hidden2,input-hidden1,1,0,-0.010000000,-0.020000000,-1.946259289980e-4,-1.475296293696e-3,-6.123115778167e-5,-1.398092348604e-3,,,3.225204244783e-5
23,7,1,2,4200,74,38,133,57,hidden1-hidden2,input-hidden1,0,0,-0.020000000,-0.020000000,-4.340472320716e-4,-3.592312335968e-3,-3.339916826871e-4,-3.445717328965e-3,,,3.489290792115e-5
23,7,1,2,4200,75,38,133,57,hidden1-hidden2,input-hidden1,1,1,-0.010000000,-0.010000000,-1.855734735727e-4,-1.758155723413e-3,-1.669958413435e-4,-1.722858664483e-3,,,8.694279163904e-6
23,7,1,2,4200,76,39,134,56,hidden1-hidden2,input-hidden1,0,1,-0.020000000,-0.010000000,-2.486600230138e-4,5.998959143957e-4,-2.343469476658e-4,5.827118559734e-4,,,7.207800377010e-6
23,7,1,2,4200,77,39,134,56,hidden1-hidden2,input-hidden1,1,0,-0.010000000,-0.020000000,-3.587988515695e-4,1.647708316644e-3,-3.120785612271e-4,1.721864258747e-3,,,2.244283279686e-5
23,7,1,2,4200,78,40,135,55,hidden1-hidden2,input-hidden1,0,1,-0.020000000,0.010000000,-5.632868657509e-4,-3.860189268986e-3,-5.041642763994e-4,-3.837241254700e-3,,,3.386267374313e-5
23,7,1,2,4200,79,40,135,55,hidden1-hidden2,input-hidden1,1,0,-0.010000000,0.020000000,-1.144807164868e-3,-8.046954870224e-3,-9.312111559121e-4,-7.854526777355e-3,,,1.205774318618e-4
23,7,1,2,4200,80,41,136,54,hidden2-bias,input-hidden1,0,1,-0.020000000,0.010000000,1.098730911811e-4,1.806275298198e-3,1.404233129280e-4,1.901070348059e-3,,,7.835999462834e-6
23,7,1,2,4200,81,41,136,54,hidden2-bias,input-hidden1,1,0,-0.010000000,0.020000000,1.932177692652e-4,5.717510978381e-3,2.435654899531e-4,5.934147723894e-3,,,1.618428733329e-5
23,7,1,2,4200,82,42,137,53,hidden2-bias,input-hidden1,0,1,-0.020000000,0.010000000,6.094140311082e-5,4.446487873793e-3,2.047669234607e-4,4.551688826919e-3,,,2.745946390980e-5
23,7,1,2,4200,83,42,137,53,hidden2-bias,input-hidden1,1,0,-0.010000000,0.020000000,2.073788394531e-4,1.043425252040e-3,3.492976638043e-4,1.180317362390e-3,,,5.024214409562e-5
23,7,1,2,4200,84,43,138,52,hidden2-bias,input-hidden1,0,1,0.020000000,-0.010000000,-1.337087402741e-4,-1.980522026618e-3,-1.289206642627e-4,-1.913878279412e-3,,,1.227318828857e-5
23,7,1,2,4200,85,43,138,52,hidden2-bias,input-hidden1,1,0,0.010000000,-0.020000000,-3.244777520498e-4,-3.180281569560e-3,-2.286934592552e-4,-3.099083255108e-3,,,4.802744010953e-5
23,7,1,2,4200,86,44,139,51,hidden2-bias,input-hidden1,0,0,0.020000000,0.020000000,-4.946260402600e-4,2.559728920460e-3,-3.697110834939e-4,2.721198425957e-3,,,5.783656911027e-5
23,7,1,2,4200,87,44,139,51,hidden2-bias,input-hidden1,1,1,0.010000000,0.010000000,-2.159550786018e-4,1.319499065479e-3,-1.848555417469e-4,1.360599212979e-3,,,1.416699960773e-5
23,7,1,2,4200,88,45,140,50,hidden2-bias,input-hidden1,0,1,0.020000000,0.010000000,2.138316631317e-6,-3.202656904856e-4,4.214132321988e-5,-3.022308379756e-4,,,1.619603277795e-5
23,7,1,2,4200,89,45,140,50,hidden2-bias,input-hidden1,1,0,0.010000000,0.020000000,-7.190182805061e-5,-6.556957960129e-4,9.984240152933e-5,-5.833951285996e-4,,,6.906385080909e-5
23,7,1,2,4200,90,46,141,49,hidden2-bias,input-hidden1,0,1,-0.020000000,0.010000000,-3.825662036737e-4,2.799604708950e-3,-2.906766945288e-4,2.922140515007e-3,,,6.081905185679e-5
23,7,1,2,4200,91,46,141,49,hidden2-bias,input-hidden1,1,0,-0.010000000,0.020000000,-7.519622643789e-4,5.080095802744e-3,-5.851394460468e-4,5.247281673259e-3,,,8.909609882538e-5
23,7,1,2,4200,92,47,142,48,hidden2-bias,input-hidden1,0,1,0.020000000,0.010000000,-2.077656487624e-5,1.286913330356e-3,2.913372468345e-6,1.334153272157e-3,,,1.062157966569e-5
23,7,1,2,4200,93,47,142,48,hidden2-bias,input-hidden1,1,0,0.010000000,0.020000000,-1.336149871349e-4,3.770089397828e-3,-6.068202428290e-5,3.919308615618e-3,,,2.766422304099e-5
23,7,1,2,4200,94,48,143,47,hidden2-bias,input-hidden1,0,0,-0.020000000,0.020000000,1.342582205931e-4,1.310917114218e-2,2.524691209492e-4,1.317029626446e-2,,,3.845459899449e-5
23,7,1,2,4200,95,48,143,47,hidden2-bias,input-hidden1,1,1,-0.010000000,0.010000000,9.659181038539e-5,6.570491318901e-3,1.262345604746e-4,6.585148132228e-3,,,9.671583646509e-6
23,7,1,2,4200,96,49,144,46,hidden2-output,input-hidden1,0,0,0.020000000,-0.020000000,-1.085613543789e-3,7.233849416176e-4,-8.845677265333e-4,8.878216986293e-4,,,1.478871937190e-4
