cell_id,state_arm,step,source,candidate_count,spearman,pairwise_agreement,pair_count,top1_agreement,candidate_regret,utility_spread
2,training_full96,600,fixed,170,0.381855265,0.639122868,14365,0.000000000,7.856011390686e-3,1.323103904724e-2
2,training_full96,600,rotating,170,-0.047980899,0.484441351,14365,0.000000000,5.465030670166e-3,1.245427131653e-2
2,training_full96,2400,training,170,-0.149607198,0.446860408,14349,0.000000000,2.744626998901e-2,1.128070056438e-3
2,training_full96,2400,fixed,170,0.311201080,0.612948138,14365,0.000000000,4.640579223633e-3,3.928899765015e-2
2,training_full96,2400,rotating,170,0.610266181,0.730455969,14365,0.000000000,1.227188110352e-2,2.762293815613e-2
2,training_full96,4200,training,170,-0.276827188,0.395473369,14006,0.000000000,3.983306884766e-2,3.239512443542e-5
2,training_full96,4200,fixed,170,0.378222862,0.637371835,14337,1.000000000,0.000000000000e0,6.325864791870e-2
2,training_full96,4200,rotating,170,0.384994400,0.639324824,14337,1.000000000,0.000000000000e0,5.257034301758e-2
2,sentinel_fixed128,0,training,170,0.369402147,0.635768051,14348,0.000000000,2.779960632324e-4,5.720853805542e-4
2,sentinel_fixed128,0,fixed,170,0.488710239,0.690296947,14346,0.000000000,1.304149627686e-4,1.239895820618e-3
2,sentinel_fixed128,0,rotating,170,0.377936398,0.631263503,14349,0.000000000,2.675056457520e-4,1.998662948608e-3
2,sentinel_fixed128,600,training,170,0.411535138,0.645891365,14360,0.000000000,2.240777015686e-3,5.712509155273e-3
2,sentinel_fixed128,600,fixed,170,-0.343426528,0.384888579,14360,0.000000000,5.614638328552e-3,1.686334609985e-3
2,sentinel_fixed128,600,rotating,170,0.193054748,0.571677226,14363,0.000000000,2.288222312927e-3,7.304906845093e-3
2,sentinel_fixed128,2400,training,170,0.360684388,0.631439710,14364,0.000000000,6.443023681641e-3,2.224493026733e-2
2,sentinel_fixed128,2400,fixed,170,-0.423228505,0.352978056,14355,0.000000000,1.680326461792e-2,9.244829416275e-4
2,sentinel_fixed128,2400,rotating,170,0.574278720,0.706836536,14364,0.000000000,1.491260528564e-2,2.460765838623e-2
2,sentinel_fixed128,4200,training,170,0.458087888,0.661740100,14344,0.000000000,2.647924423218e-2,4.746294021606e-2
2,sentinel_fixed128,4200,fixed,170,-0.266974212,0.416986531,14329,0.000000000,2.653169631958e-2,5.317851901054e-4
2,sentinel_fixed128,4200,rotating,170,0.223852487,0.579475739,14344,0.000000000,2.106714248657e-2,5.612444877625e-2
2,sentinel_rotating128,0,training,170,0.369402147,0.635768051,14348,0.000000000,2.779960632324e-4,5.720853805542e-4
2,sentinel_rotating128,0,fixed,170,0.488710239,0.690296947,14346,0.000000000,1.304149627686e-4,1.239895820618e-3
