dataset_index,initialization_index,stream_seed,method,n_states,within_stratum_utility_variance,predicted_finite_population_rmse,observed_panel_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization_rate
2,0,a303ea000000000d,evaluation_state_response_comparator,3,2.687097370193e-5,5.083042300939e-4,5.103239147418e-4,0.312051918,4.637529169311e-4,5.245940289077e-4,0.250000000
2,0,a303ea000000000e,evaluation_state_response_comparator,3,3.164601753962e-5,5.392399080102e-4,5.415594617121e-4,0.299356618,6.754222522621e-4,7.714889350533e-4,0.130208333
2,0,a303ea000000000d,gradient_full171,3,2.701644491920e-5,5.097135069206e-4,5.075980077098e-4,0.310488981,4.933219576060e-4,5.603129609805e-4,0.265625000
2,0,a303ea000000000e,gradient_full171,3,3.190313744280e-5,5.415724693675e-4,5.377766194009e-4,0.289185049,6.546580373007e-4,7.217246189886e-4,0.093750000
2,0,a303ea000000000d,hash_placebo_mean,3,3.503144229608e-5,5.902500712523e-4,5.867293222657e-4,0.332567631,5.002734896215e-4,6.025920797714e-4,0.292968750
2,0,a303ea000000000e,hash_placebo_mean,3,4.228830259702e-5,6.348962331283e-4,6.350056982338e-4,0.321105239,7.192551517008e-4,8.029761305224e-4,0.128906250
2,1,a303ea000000000f,development_response_oracle,3,2.930395526806e-5,5.169520625643e-4,5.211574151537e-4,0.314283974,4.784016432116e-4,5.650541852068e-4,0.302083333
2,1,a303ea0000000010,development_response_oracle,3,2.009750718951e-5,4.319261127292e-4,4.291828710229e-4,0.292710665,3.625599654621e-4,3.921298001520e-4,0.109375000
2,1,a303ea000000000f,evaluation_state_response_comparator,3,2.755758086215e-5,4.976021548947e-4,4.892178366807e-4,0.298234113,4.692836950255e-4,5.499876987566e-4,0.255208333
2,1,a303ea0000000010,evaluation_state_response_comparator,3,1.880501393401e-5,4.136464847562e-4,4.115325147656e-4,0.289159997,4.132589511793e-4,4.477863158598e-4,0.072916667
2,1,a303ea000000000f,gradient_full171,3,2.829782789751e-5,5.048018094705e-4,4.990912031992e-4,0.296026754,4.118535938649e-4,4.715868064219e-4,0.213541667
2,1,a303ea0000000010,gradient_full171,3,1.936049842779e-5,4.194514471775e-4,4.199518643397e-4,0.289715018,4.223981752981e-4,4.493288132039e-4,0.083333333
2,1,a303ea000000000f,hash_placebo_mean,3,3.545351975679e-5,5.789109932905e-4,5.776920765902e-4,0.324530890,4.547823620520e-4,5.687405066155e-4,0.317057292
2,1,a303ea0000000010,hash_placebo_mean,3,2.556160060800e-5,4.965477689060e-4,5.022020445174e-4,0.316678084,4.581033517734e-4,5.089898555066e-4,0.141276042
2,2,a303ea0000000011,development_response_oracle,3,2.089123916543e-5,4.389934154998e-4,4.311465638738e-4,0.283560560,4.626899034103e-4,5.199578147691e-4,0.182291667
2,2,a303ea0000000012,development_response_oracle,3,1.461837633349e-5,3.736619131328e-4,3.716424591560e-4,0.282243894,3.569305177962e-4,3.954684064714e-4,0.093750000
2,2,a303ea0000000011,evaluation_state_response_comparator,3,1.911415561084e-5,4.169671741917e-4,4.164422448124e-4,0.277241261,4.206809766979e-4,4.702115083030e-4,0.114583333
2,2,a303ea0000000012,evaluation_state_response_comparator,3,1.337258822997e-5,3.541739732496e-4,3.542767430913e-4,0.277026213,3.188630957235e-4,3.769100318702e-4,0.145833333
2,2,a303ea0000000011,gradient_full171,3,1.910902370309e-5,4.176895065076e-4,4.122268400829e-4,0.279657957,4.161994313231e-4,4.843971945074e-4,0.166666667
2,2,a303ea0000000012,gradient_full171,3,1.314360387292e-5,3.518801786568e-4,3.600803567992e-4,0.275539480,3.336282808893e-4,3.922315339295e-4,0.119791667
2,2,a303ea0000000011,hash_placebo_mean,3,2.795534761736e-5,5.166135465419e-4,5.150426013890e-4,0.309823708,4.620261657937e-4,5.149400916511e-4,0.164713542
2,2,a303ea0000000012,hash_placebo_mean,3,1.965525378852e-5,4.402772513177e-4,4.412883869387e-4,0.305121289,3.801020057796e-4,4.719946093050e-4,0.204427083
